Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PNW.N,42.125,42.25,41.75,41.75,41.75,141900.0,3536959591.25,,,,,,,,,,,,,,,,,,
1998-01-05,PNW.N,41.625,41.6875,40.875,41.1875,41.1875,895300.0,3489305944.0625,,,,,,,,,,,,,,,,,,
1998-01-06,PNW.N,41.0625,41.0625,40.1875,40.5625,40.5625,174600.0,3436357447.1875,,,,,,,,,,,,,,,,,,
1998-01-07,PNW.N,40.375,40.375,39.875,40.125,40.125,179800.0,3399293499.375,,,,,,,,,,,,,,,,,,
1998-01-08,PNW.N,40.125,40.625,39.875,40.5625,40.5625,755600.0,3436357447.1875,,,,,,,,,,,,,,,,,,
1998-01-09,PNW.N,40.4375,40.625,39.9375,40.1875,40.1875,277700.0,3404588349.0625,,,,,,,,,,,,,,,,,,
1998-01-12,PNW.N,39.5,40.375,39.5,40.3125,40.3125,76900.0,3415178048.4375,,,,,,,,,,,,,,,,,,
1998-01-13,PNW.N,40.25,40.375,40.0,40.125,40.125,226200.0,3399293499.375,,,,,,,,,,,,,,,,,,
1998-01-14,PNW.N,40.25,40.3125,40.0,40.1875,40.1875,417500.0,3404588349.0625,,,,,,,,,,,,,,,,,,
1998-01-15,PNW.N,40.0625,40.4375,40.0625,40.25,40.25,241500.0,3409883198.75,,,,,,,,,,,,,,,,,,
1998-01-16,PNW.N,40.1875,40.1875,40.0,40.0,40.0,152200.0,3388703800.0,,,,,,,,,,,,,,,,,,
1998-01-20,PNW.N,40.0,40.125,39.625,39.75,39.75,85000.0,3367524401.25,,,,,,,,,,,,,,,,,,
1998-01-21,PNW.N,39.8125,40.25,39.625,40.25,40.25,335200.0,3409883198.75,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3414204237.5,,1.6840009931262956,0.5938238778253515,,
1998-01-22,PNW.N,40.375,41.4375,40.375,41.1875,41.1875,378200.0,3489305944.0625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3493727628.125,,1.7232246187425913,0.5803074010918459,,
1998-01-23,PNW.N,41.1875,41.375,40.6875,41.0,41.0,381400.0,3473421395.0,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3477822950.0,,1.715379893619332,0.5829612459139122,,
1998-01-26,PNW.N,41.0625,42.0,41.0,41.25,41.25,493500.0,3494600793.75,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3499029187.5,,1.725839527117011,0.5794281474538279,,
1998-01-27,PNW.N,41.4375,41.5,41.1875,41.1875,41.1875,369500.0,3489305944.0625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3493727628.125,,1.7232246187425913,0.5803074010918459,,
1998-01-28,PNW.N,41.1875,41.4375,40.625,40.625,40.625,322800.0,3441652296.875,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3446013593.75,,1.6996904433728137,0.5883424266454252,,
1998-01-29,PNW.N,40.1875,40.75,39.9375,40.125,40.125,203800.0,3399293499.375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3403601118.75,,1.6787711763774562,0.5956737964478604,,
1998-01-30,PNW.N,40.0,40.1875,39.875,40.0,40.0,115800.0,3388703800.0,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3392998000.0,,1.6735413596286166,0.59753527706176,,
1998-02-02,PNW.N,40.0625,40.9375,40.0625,40.5,40.5,412200.0,3431062597.5,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3435410475.0,,1.6944606266239743,0.5901582983326025,,
1998-02-03,PNW.N,40.4375,40.9375,40.375,40.8125,40.8125,143500.0,3457536845.9375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3461918271.875,,1.707535168496073,0.5856394752213269,,
1998-02-04,PNW.N,40.5625,40.8125,40.375,40.4375,40.4375,169600.0,3431062597.5,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3430108915.625,,1.6918457182495548,0.5910704440796389,,
1998-02-05,PNW.N,40.5625,40.625,40.0625,40.1875,40.1875,478000.0,3404588349.0625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3408902678.125,,1.6813860847518758,0.5947473986306787,,
1998-02-06,PNW.N,40.125,40.5,40.125,40.3125,40.3125,92400.0,3415178048.4375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3419505796.875,,1.6866159015007152,0.5929032206504286,,
1998-02-09,PNW.N,40.375,40.4375,39.9375,40.4375,40.4375,341800.0,3425767747.8125,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3430108915.625,,1.6918457182495548,0.5910704440796389,,
1998-02-10,PNW.N,40.5625,41.1875,40.5625,40.9375,40.9375,357000.0,3468126545.3125,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3472521390.625,,1.7127649852449125,0.5838512630832464,,
1998-02-11,PNW.N,40.875,40.9375,40.5,40.875,40.875,69000.0,3462831695.625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3467219831.25,,1.7101500768704927,0.5847440020176244,,
1998-02-12,PNW.N,40.9375,41.0,40.5625,41.0,41.0,112600.0,3473421395.0,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3477822950.0,,1.715379893619332,0.5829612459139122,,
1998-02-13,PNW.N,41.0,41.0,40.75,41.0,41.0,133800.0,3473421395.0,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3477822950.0,,1.715379893619332,0.5829612459139122,,
1998-02-17,PNW.N,41.25,41.25,40.875,41.125,41.125,176400.0,3484011094.375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3488426068.75,,1.7206097103681715,0.5811893272333228,,
1998-02-18,PNW.N,40.9375,41.0,40.75,40.8125,40.8125,46500.0,3457536845.9375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3461918271.875,,1.707535168496073,0.5856394752213269,,
1998-02-19,PNW.N,40.9375,40.9375,40.5625,40.75,40.75,74900.0,3452241996.25,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3456616712.5,,1.7049202601216533,0.5865376952753472,,
1998-02-20,PNW.N,40.875,40.875,40.625,40.8125,40.8125,69400.0,3457536845.9375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3461918271.875,,1.707535168496073,0.5856394752213269,,
1998-02-23,PNW.N,40.5625,40.75,40.5,40.5625,40.5625,113800.0,3436357447.1875,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3440712034.375,,1.6970755349983941,0.5892489635123673,,
1998-02-24,PNW.N,40.4375,40.5625,40.125,40.5625,40.5625,112900.0,3425767747.8125,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3440712034.375,,1.6970755349983941,0.5892489635123673,,
1998-02-25,PNW.N,40.625,41.0,40.625,40.625,40.625,111800.0,3441652296.875,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3446013593.75,,1.6996904433728137,0.5883424266454252,,
1998-02-26,PNW.N,40.4375,40.8125,40.3125,40.6875,40.6875,46900.0,3446947146.5625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3451315153.125,,1.7023053517472335,0.5874386748379822,,
1998-02-27,PNW.N,40.6875,41.0,40.6875,40.8125,40.8125,33900.0,3457536845.9375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3461918271.875,,1.707535168496073,0.5856394752213269,,
1998-03-02,PNW.N,40.5625,41.0625,40.5,40.8125,40.8125,113600.0,3457536845.9375,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3461918271.875,,1.707535168496073,0.5856394752213269,,
1998-03-03,PNW.N,40.9375,41.3125,40.875,41.0,41.0,251400.0,3473421395.0,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3477822950.0,,1.715379893619332,0.5829612459139122,,
1998-03-04,PNW.N,40.875,41.0,40.5,40.5625,40.5625,262500.0,3436357447.1875,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3440712034.375,,1.6970755349983941,0.5892489635123673,,
1998-03-05,PNW.N,40.5,40.75,40.375,40.4375,40.4375,110800.0,3425767747.8125,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3430108915.625,,1.6918457182495548,0.5910704440796389,,
1998-03-06,PNW.N,40.5625,41.5625,40.4375,41.5,41.5,756300.0,3515780192.5,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3520235425.0,,1.7362991606146898,0.5759376164450699,,
1998-03-09,PNW.N,41.25,41.9375,41.0625,41.375,41.375,199000.0,3505190493.125,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3509632306.25,,1.7310693438658504,0.5776776092439976,,
1998-03-10,PNW.N,41.625,42.25,41.625,41.875,41.875,139800.0,3547549290.625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3552044781.25,,1.7519886108612082,0.5707799661485469,,
1998-03-11,PNW.N,41.9375,42.625,41.875,42.0625,42.0625,78200.0,3563433839.6875,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3567949459.375,,1.7598333359844673,0.5682356275178698,,
1998-03-12,PNW.N,42.3125,42.4375,41.9375,42.4375,42.4375,172900.0,3595202937.8125,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3599758815.625,,1.7755227862309855,0.5632143995869314,,
1998-03-13,PNW.N,42.4375,42.5,41.9375,42.1875,42.1875,67800.0,3574023539.0625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3578552578.125,,1.7650631527333067,0.5665519663992984,,
1998-03-16,PNW.N,42.125,42.5625,41.875,42.5,42.5,163600.0,3600497787.5,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3605060375.0,,1.7781376946054053,0.5623861431169506,,
1998-03-17,PNW.N,42.5,43.0,42.5,42.9375,42.9375,139500.0,3632266885.625,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3642171290.625,,1.7964420532263432,0.5566558621827168,,
1998-03-18,PNW.N,42.8125,43.3125,42.8125,43.25,43.25,111700.0,3664035983.75,85822970.0,23.9014110824704,84824950.0,0.22378,0.22083,18952000.0,1997-12-31,443795000.0,84689340.0,,,1998-01-21,3668679087.5,,1.8095165950984418,0.5526337822536509,,
