Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,PRU.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
