Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,PWR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,PWR.N,7.333333,7.833333,7.333333,7.5,7.5,3880049.0,,,,,,,,,,,,,,,,,,,
1998-02-13,PWR.N,7.583333,7.666667,7.458333,7.5,7.5,492599.0,,,,,,,,,,,,,,,,,,,
1998-02-17,PWR.N,7.75,7.916667,7.75,7.833333,7.833333,128699.0,,,,,,,,,,,,,,,,,,,
1998-02-18,PWR.N,7.916667,8.333333,7.875,8.333333,8.333333,125249.0,,,,,,,,,,,,,,,,,,,
1998-02-19,PWR.N,8.416667,8.583333,8.166667,8.166667,8.166667,225449.0,,,,,,,,,,,,,,,,,,,
1998-02-20,PWR.N,8.083333,8.166667,7.583333,7.791667,7.791667,198299.0,,,,,,,,,,,,,,,,,,,
1998-02-23,PWR.N,7.833333,7.916667,7.625,7.916667,7.916667,56549.0,,,,,,,,,,,,,,,,,,,
1998-02-24,PWR.N,7.875,7.916667,7.541667,7.666667,7.666667,256799.0,,,,,,,,,,,,,,,,,,,
1998-02-25,PWR.N,7.75,7.75,7.5,7.666667,7.666667,122849.0,,,,,,,,,,,,,,,,,,,
1998-02-26,PWR.N,7.583333,8.083333,7.583333,7.958333,7.958333,85499.0,,,,,,,,,,,,,,,,,,,
1998-02-27,PWR.N,7.958333,8.0,7.833333,7.958333,7.958333,24899.0,,,,,,,,,,,,,,,,,,,
1998-03-02,PWR.N,7.916667,8.0,7.916667,8.0,8.0,139949.0,,,,,,,,,,,,,,,,,,,
1998-03-03,PWR.N,8.0,8.333333,7.916667,8.333333,8.333333,61499.0,,,,,,,,,,,,,,,,,,,
1998-03-04,PWR.N,8.25,8.333333,7.916667,8.166667,8.166667,22799.0,,,,,,,,,,,,,,,,,,,
1998-03-05,PWR.N,8.083333,8.083333,7.833333,8.041667,8.041667,50099.0,,,,,,,,,,,,,,,,,,,
1998-03-06,PWR.N,8.041667,8.083333,7.916667,8.083333,8.083333,12599.0,,,,,,,,,,,,,,,,,,,
1998-03-09,PWR.N,8.083333,8.25,7.916667,7.916667,7.916667,30149.0,,,,,,,,,,,,,,,,,,,
1998-03-10,PWR.N,7.916667,8.0,7.666667,7.833333,7.833333,195149.0,,,,,,,,,,,,,,,,,,,
1998-03-11,PWR.N,7.916667,8.25,7.916667,7.958333,7.958333,68699.0,,,,,,,,,,,,,,,,,,,
1998-03-12,PWR.N,8.0,8.333333,8.0,8.333333,8.333333,92699.0,,,,,,,,,,,,,,,,,,,
1998-03-13,PWR.N,8.416667,8.833333,8.416667,8.666667,8.666667,149549.0,,,,,,,,,,,,,,,,,,,
1998-03-16,PWR.N,8.666667,8.666667,8.416667,8.5,8.5,74249.0,,,,,,,,,,,,,,,,,,,
1998-03-17,PWR.N,8.416667,8.416667,8.166667,8.166667,8.166667,23999.0,,,,,,,,,,,,,,,,,,,
1998-03-18,PWR.N,8.166667,8.416667,8.166667,8.25,8.25,23549.0,,,,,,,,,,,,,,,,,,,
1998-03-19,PWR.N,8.416667,8.416667,8.333333,8.416667,8.416667,91049.0,,,,,,,,,,,,,,,,,,,
