Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,QCOM.OQ,3.203125,3.308594,3.195313,3.238281,3.238281,23991999.0,3520241196.3125,,,,,,,,,,,,,,,,,,
1998-01-05,QCOM.OQ,3.289063,3.359375,3.242188,3.273438,3.273438,24339199.0,3558458531.375,,,,,,,,,,,,,,,,,,
1998-01-06,QCOM.OQ,3.273438,3.359375,3.242188,3.246094,3.246094,18283199.0,3528733937.4375,,,,,,,,,,,,,,,,,,
1998-01-07,QCOM.OQ,3.171875,3.179688,2.960938,2.992188,2.992188,77367999.0,3252719850.875,,,,,,,,,,,,,,,,,,
1998-01-08,QCOM.OQ,2.988281,3.121094,2.9375,3.023438,3.023438,40558399.0,3286690815.375,,,,,,,,,,,,,,,,,,
1998-01-09,QCOM.OQ,3.023438,3.039063,2.867188,2.902344,2.902344,33051199.0,3155053327.9375,,,,,,,,,,,,,,,,,,
1998-01-12,QCOM.OQ,2.867188,2.992188,2.8125,2.941406,2.941406,35159999.0,3197517033.5625,,,,,,,,,,,,,,,,,,
1998-01-13,QCOM.OQ,3.007813,3.085938,3.0,3.042969,3.042969,27871999.0,3307922668.1875,,,,,,,,,,,,,,,,,,
1998-01-14,QCOM.OQ,3.09375,3.125,3.03125,3.042969,3.042969,24870399.0,3307922668.1875,,,,,,,,,,,,,,,,,,
1998-01-15,QCOM.OQ,2.976563,2.976563,2.875,2.875,2.875,37475199.0,3125328734.0,,,,,,,,,,,,,,,,,,
1998-01-16,QCOM.OQ,2.890625,2.953125,2.8125,2.875,2.875,48825599.0,3125328734.0,,,,,,,,,,,,,,,,,,
1998-01-20,QCOM.OQ,3.023438,3.054688,2.949219,2.96875,2.96875,43787199.0,3227241627.5,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3274657125.0,,3.052368396523197,0.3276144521542848,,
1998-01-21,QCOM.OQ,3.226563,3.414063,3.179688,3.382813,3.382813,117758399.0,3677356907.125,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3731386170.2712,,3.4780939764371626,0.2875137954220446,,
1998-01-22,QCOM.OQ,3.367188,3.453125,3.257813,3.3125,3.3125,73201599.0,3600922237.0,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3653827950.0,,3.4058005266469356,0.29361672598733074,,
1998-01-23,QCOM.OQ,3.359375,3.421875,3.335938,3.402344,3.402344,30686399.0,3698588759.9375,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3752929691.3855996,,3.498175090425371,0.2858633356394983,,
1998-01-26,QCOM.OQ,3.390625,3.398438,3.222656,3.242188,3.242188,29942399.0,3524487566.875,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3576270832.7712,,3.3335081050229056,0.29998427137261413,,
1998-01-27,QCOM.OQ,3.257813,3.359375,3.242188,3.28125,3.28125,35247999.0,3566951272.5,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3619357875.0,,3.373670332999323,0.2964130757586387,,
1998-01-28,QCOM.OQ,3.335938,3.4375,3.296875,3.371094,3.371094,25020799.0,3664617795.4375,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3718459616.3855996,,3.4660448967777584,0.2885132852519191,,
1998-01-29,QCOM.OQ,3.390625,3.492188,3.328125,3.363281,3.363281,31751999.0,3656125054.3125,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3709841546.1144004,,3.458011834282757,0.2891835100406517,,
1998-01-30,QCOM.OQ,3.382813,3.40625,3.234375,3.242188,3.242188,37011199.0,3524487566.875,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3576270832.7712,,3.3335081050229056,0.29998427137261413,,
1998-02-02,QCOM.OQ,3.335938,3.527344,3.320313,3.515625,3.515625,59187199.0,3821733506.25,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3877883437.5,,3.6146467853564177,0.27665220404139607,,
1998-02-03,QCOM.OQ,3.539063,3.5625,3.5,3.5,3.5,40894399.0,3804748024.0,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3860648400.0,,3.598581688532611,0.27788725852372376,,
1998-02-04,QCOM.OQ,3.460938,3.625,3.445313,3.566406,3.566406,36555199.0,3876936323.5625,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3933897033.6144004,,3.666858092992239,0.27271303514883977,,
1998-02-05,QCOM.OQ,3.609375,3.652344,3.492188,3.515625,3.515625,28372799.0,3821733506.25,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3877883437.5,,3.6146467853564177,0.27665220404139607,,
1998-02-06,QCOM.OQ,2.902344,3.101563,2.882813,2.984375,2.984375,242895999.0,3244227109.75,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3291892162.5,,3.0684334933470034,0.3258991932424823,,
1998-02-09,QCOM.OQ,2.929688,3.015625,2.929688,2.980469,2.980469,55147199.0,3239980739.1875,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3287583678.8855996,,3.0644174761826006,0.32632629456405454,,
1998-02-10,QCOM.OQ,2.972656,2.984375,2.890625,2.898438,2.898438,49556799.0,3197099409.875,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3197100007.7712,,2.980075974899167,0.3355619146702579,,
1998-02-11,QCOM.OQ,2.902344,3.023438,2.890625,2.953125,2.953125,56574399.0,3257422040.25,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3257422087.5,,3.036303299699391,0.3293478619540429,,
1998-02-12,QCOM.OQ,2.933594,3.0,2.910156,2.976563,2.976563,26593599.0,3283274596.125,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3283275195.2712,,3.0604014590181987,0.32675451681453843,,
1998-02-13,QCOM.OQ,2.953125,2.964844,2.90625,2.910156,2.910156,21105599.0,3210025687.8125,1186016000.0,0.972605404833033,1103042400.0,0.04449,0.031,36762000.0,1997-12-28,785854000.0,1095600000.0,,,1998-01-20,3210025458.6144004,,2.9921240263923745,0.3342107450023411,,
