Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,REGN.OQ,8.75,8.875,8.5,8.875,8.875,26700.0,167551125.0,,,,,,,,,,,,,,,,,,
1998-01-05,REGN.OQ,9.0,9.375,8.875,9.0,9.0,44800.0,169911000.0,,,,,,,,,,,,,,,,,,
1998-01-06,REGN.OQ,9.0,9.125,8.25,8.5,8.5,60600.0,160471500.0,,,,,,,,,,,,,,,,,,
1998-01-07,REGN.OQ,8.5,8.5,8.125,8.25,8.25,83700.0,155751750.0,,,,,,,,,,,,,,,,,,
1998-01-08,REGN.OQ,8.25,8.625,8.25,8.25,8.25,16200.0,155751750.0,,,,,,,,,,,,,,,,,,
1998-01-09,REGN.OQ,8.25,8.75,8.25,8.6875,8.6875,32000.0,164011312.5,,,,,,,,,,,,,,,,,,
1998-01-12,REGN.OQ,8.25,8.5,8.25,8.375,8.375,7700.0,158111625.0,,,,,,,,,,,,,,,,,,
1998-01-13,REGN.OQ,8.875,8.875,8.375,8.375,8.375,35300.0,158111625.0,,,,,,,,,,,,,,,,,,
1998-01-14,REGN.OQ,8.5,8.875,8.375,8.5625,8.5625,104600.0,161651437.5,,,,,,,,,,,,,,,,,,
1998-01-15,REGN.OQ,8.5,8.75,8.375,8.375,8.375,30100.0,158111625.0,,,,,,,,,,,,,,,,,,
1998-01-16,REGN.OQ,8.625,8.625,8.0,8.125,8.125,101800.0,153391875.0,,,,,,,,,,,,,,,,,,
1998-01-20,REGN.OQ,8.125,8.5,8.125,8.5,8.5,48200.0,160471500.0,,,,,,,,,,,,,,,,,,
1998-01-21,REGN.OQ,8.0,8.375,7.5,7.875,7.875,126900.0,148672125.0,,,,,,,,,,,,,,,,,,
1998-01-22,REGN.OQ,7.8125,8.0,7.8125,7.9375,7.9375,18800.0,149852062.5,,,,,,,,,,,,,,,,,,
1998-01-23,REGN.OQ,8.0,8.0,7.875,7.9375,7.9375,10900.0,149852062.5,,,,,,,,,,,,,,,,,,
1998-01-26,REGN.OQ,8.125,8.125,7.5,7.5,7.5,30900.0,141592500.0,,,,,,,,,,,,,,,,,,
1998-01-27,REGN.OQ,7.875,7.875,7.25,7.4375,7.4375,115800.0,140412562.5,,,,,,,,,,,,,,,,,,
1998-01-28,REGN.OQ,7.375,7.5,7.125,7.125,7.125,88100.0,134512875.0,,,,,,,,,,,,,,,,,,
1998-01-29,REGN.OQ,7.25,7.25,7.0,7.0,7.0,179500.0,132153000.0,,,,,,,,,,,,,,,,,,
1998-01-30,REGN.OQ,7.0,7.375,7.0,7.0,7.0,69300.0,132153000.0,,,,,,,,,,,,,,,,,,
1998-02-02,REGN.OQ,7.125,7.625,7.125,7.375,7.375,130800.0,139232625.0,,,,,,,,,,,,,,,,,,
1998-02-03,REGN.OQ,7.5,7.625,7.25,7.5,7.5,97100.0,141592500.0,,,,,,,,,,,,,,,,,,
1998-02-04,REGN.OQ,7.625,7.75,7.375,7.5,7.5,83500.0,141592500.0,,,,,,,,,,,,,,,,,,
1998-02-05,REGN.OQ,7.5,7.6875,7.125,7.125,7.125,42200.0,134512875.0,,,,,,,,,,,,,,,,,,
1998-02-06,REGN.OQ,7.375,7.375,7.125,7.125,7.125,104700.0,134512875.0,,,,,,,,,,,,,,,,,,
1998-02-09,REGN.OQ,7.125,7.375,7.125,7.375,7.375,151000.0,139232625.0,,,,,,,,,,,,,,,,,,
1998-02-10,REGN.OQ,7.25,7.625,7.25,7.5,7.5,62200.0,141592500.0,,,,,,,,,,,,,,,,,,
1998-02-11,REGN.OQ,7.625,9.5,7.375,9.5,9.5,269000.0,179350500.0,,,,,,,,,,,,,,,,,,
1998-02-12,REGN.OQ,9.5,9.5,8.5,8.9375,8.9375,111900.0,168731062.5,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,276369665.0,,1.9897453868694046,0.5025768656628801,,
1998-02-13,REGN.OQ,8.8125,9.125,8.5,8.5625,8.5625,108800.0,161651437.5,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,264773735.0,,1.9062595664413176,0.5245875313123493,,
1998-02-17,REGN.OQ,8.875,9.0,8.5,8.8125,8.8125,29100.0,166371187.5,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,272504355.0,,1.961916780060042,0.5097056155304387,,
1998-02-18,REGN.OQ,8.625,9.0,8.625,8.6875,8.6875,32400.0,164011312.5,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,268639045.0,,1.9340881732506798,0.517039509279078,,
1998-02-19,REGN.OQ,8.5625,9.0,8.5625,8.875,8.875,29000.0,167551125.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,274437010.0,,1.9758310834647235,0.5061161393647313,,
1998-02-20,REGN.OQ,8.625,9.0,8.625,8.625,8.625,44800.0,162831375.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,266706390.0,,1.9201738698459987,0.520786172389796,,
1998-02-23,REGN.OQ,8.6875,8.6875,8.25,8.4375,8.4375,87500.0,159291562.5,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,260908425.0,,1.8784309596319553,0.5323591984429026,,
1998-02-24,REGN.OQ,8.0,8.5,8.0,8.375,8.375,63600.0,158111625.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,258975770.0,,1.8645166562272741,0.5363320282820287,,
1998-02-25,REGN.OQ,8.125,8.5,7.875,8.5,8.5,49000.0,160471500.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,262841080.0,,1.8923452630366364,0.5284447925719988,,
1998-02-26,REGN.OQ,8.0,8.5,8.0,8.25,8.25,68600.0,155751750.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,255110460.0,,1.8366880494179119,0.5444582711347867,,
1998-02-27,REGN.OQ,8.375,8.375,7.5625,8.125,8.125,4061000.0,153391875.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,251245150.0,,1.8088594426085496,0.552834552229168,,
1998-03-02,REGN.OQ,8.0,8.125,7.6875,7.75,7.75,185000.0,146312250.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,239649220.0,,1.7253736221804628,0.5795846112079988,,
1998-03-03,REGN.OQ,7.6875,7.6875,7.5,7.625,7.625,370000.0,143952375.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,235783910.0,,1.6975450153711003,0.5890859982769824,,
1998-03-04,REGN.OQ,7.5,7.75,7.5,7.5,7.5,47400.0,141592500.0,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,231918600.0,,1.669716408561738,0.5989040982482654,,
1998-03-05,REGN.OQ,7.5,7.53125,7.5,7.515625,7.515625,10800.0,141887578.77,30922120.0,4.49178073686199,30922480.0,0.01708,0.01708,528000.0,1997-12-31,9607000.0,30922120.0,,,1998-02-12,232401763.75,,1.6731949844129084,0.5976589753828844,,
