Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ROP.OQ,14.15625,14.5,13.90625,14.5,14.5,61000.0,898786386.0,,,,,,,,,,,,,,,,,,
1998-01-05,ROP.OQ,14.5,14.5,13.875,13.875,13.875,80200.0,860045593.5,,,,,,,,,,,,,,,,,,
1998-01-06,ROP.OQ,13.75,13.75,12.90625,13.15625,13.15625,106200.0,815493682.125,,,,,,,,,,,,,,,,,,
1998-01-07,ROP.OQ,13.125,13.96875,13.125,13.96875,13.96875,88400.0,865856712.375,,,,,,,,,,,,,,,,,,
1998-01-08,ROP.OQ,13.96875,14.5,13.96875,14.0625,14.0625,181600.0,871667831.25,,,,,,,,,,,,,,,,,,
1998-01-09,ROP.OQ,13.75,13.78125,12.78125,12.78125,12.78125,135400.0,794186246.25,,,,,,,,,,,,,,,,,,
1998-01-12,ROP.OQ,12.65625,13.0,12.625,12.65625,12.65625,62000.0,784501048.125,,,,,,,,,,,,,,,,,,
1998-01-13,ROP.OQ,12.71875,13.0625,12.59375,12.90625,12.90625,104200.0,799997365.125,,,,,,,,,,,,,,,,,,
1998-01-14,ROP.OQ,12.96875,13.875,12.96875,13.84375,13.84375,117800.0,858108553.875,,,,,,,,,,,,,,,,,,
1998-01-15,ROP.OQ,13.75,13.875,13.5,13.53125,13.53125,59800.0,838738157.625,,,,,,,,,,,,,,,,,,
1998-01-16,ROP.OQ,13.65625,13.75,13.5,13.625,13.625,59200.0,844549276.5,,,,,,,,,,,,,,,,,,
1998-01-20,ROP.OQ,13.5,13.625,13.5,13.59375,13.59375,135200.0,842612236.875,,,,,,,,,,,,,,,,,,
1998-01-21,ROP.OQ,13.59375,13.625,13.5,13.59375,13.59375,46200.0,842612236.875,,,,,,,,,,,,,,,,,,
1998-01-22,ROP.OQ,13.59375,13.625,13.5625,13.5625,13.5625,75600.0,840675197.25,,,,,,,,,,,,,,,,,,
1998-01-23,ROP.OQ,13.53125,13.78125,13.53125,13.5625,13.5625,76400.0,840675197.25,,,,,,,,,,,,,,,,,,
1998-01-26,ROP.OQ,13.75,13.75,13.53125,13.6875,13.6875,42400.0,848423355.75,,,,,,,,,,,,,,,,,,
