Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SCHW.N,8.916676,9.11112,8.847231,8.944453,8.944453,2456997.0,7101004055.25,,,,,,,,,,,,,,,,,,
1998-01-05,SCHW.N,8.944453,9.208343,8.916676,8.98612,8.98612,3506396.0,7134083266.6875,,,,,,,,,,,,,,,,,,
1998-01-06,SCHW.N,8.777787,8.888898,8.750009,8.888898,8.888898,1887298.0,7056898440.0,,,,,,,,,,,,,,,,,,
1998-01-07,SCHW.N,8.833342,8.847231,8.694453,8.791675,8.791675,1921498.0,6979713613.3125,,,,,,,,,,,,,,,,,,
1998-01-08,SCHW.N,8.694453,8.833342,8.583342,8.680564,8.680564,1489048.0,6858423171.37499,,,,,,,,,,,,,,,,,,
1998-01-09,SCHW.N,8.638898,8.638898,7.777786,7.958341,7.958341,3574796.0,6351208596.0,,,,,,,,,,,,,,,,,,
1998-01-12,SCHW.N,7.777786,8.152786,7.666674,8.152786,8.152786,3867296.0,6472499037.93749,,,,,,,,,,,,,,,,,,
1998-01-13,SCHW.N,8.208342,8.666675,8.208342,8.666675,8.666675,3007796.0,6880475979.0,,,,,,,,,,,,,,,,,,
1998-01-14,SCHW.N,8.666675,8.694453,8.208342,8.48612,8.48612,2858847.0,6737132729.4375,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,10155238528.099527,,8.846905117842303,0.11303387870445399,,
1998-01-15,SCHW.N,8.388897,8.388897,8.000008,8.000008,8.000008,2868297.0,6351208596.0,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,9573514099.105885,,8.340126196421847,0.11990226244166768,,
1998-01-16,SCHW.N,8.000008,8.125008,7.902786,8.083341,8.083341,6765293.0,6417367018.875,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,9673237705.68488,,8.42700207658677,0.11866616276010636,,
1998-01-20,SCHW.N,8.138897,8.138897,7.916675,8.111119,8.111119,3869546.0,6439419826.5,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,9706479306.773897,,8.455961050813322,0.11825976893588183,,
1998-01-21,SCHW.N,8.027786,8.083341,7.888897,8.013897,8.013897,3140096.0,6362234999.8125,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,9590134899.650396,,8.354605683535123,0.1196944581083886,,
1998-01-22,SCHW.N,7.902786,7.944452,7.72223,7.750008,7.750008,2051097.0,6152733327.375,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,9274342082.680843,,8.079497513412347,0.12377007336656182,,
1998-01-23,SCHW.N,7.72223,7.777786,7.583341,7.680563,7.680563,1495348.0,6097601308.3125,1234887801.68826,0.959219058751441,1196688065.70017,0.05337,0.05106,63055000.0,1997-12-31,620473000.0,1181428870.89093,,,1998-01-14,9191238079.958296,,8.007100077845969,0.124889159655541,,
