Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,SJM.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-18,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-19,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-20,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-23,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-24,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-25,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-26,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-02-27,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-02,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-03,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-04,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-05,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-06,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-09,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-10,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-11,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-12,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-13,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-16,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-17,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-18,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-19,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-20,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-23,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-24,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-25,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-26,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-27,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-30,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-03-31,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-01,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-02,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-03,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-06,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-07,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-08,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-09,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-13,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-14,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-15,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-16,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-17,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-20,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-21,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-22,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-23,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-24,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-27,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-28,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-29,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-04-30,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-01,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-04,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-05,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-06,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-07,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-08,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-11,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-12,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-13,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-14,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
1998-05-15,SJM.N,,,,,,0.0,,29382091.0,20.726018458355,14420570.0,0.17479,0.2734,5075000.0,1998-01-31,130658000.0,29034886.0,,,1998-02-17,,,,,,
