Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SNA.N,43.625,43.625,42.25,42.375,42.375,117000.0,1816446750.0,,,,,,,,,,,,,,,,,,
1998-01-05,SNA.N,42.375,42.6875,42.0,42.1875,42.1875,168300.0,1808409375.0,,,,,,,,,,,,,,,,,,
1998-01-06,SNA.N,42.1875,42.1875,41.625,42.125,42.125,116300.0,1805730250.0,,,,,,,,,,,,,,,,,,
1998-01-07,SNA.N,42.125,42.25,41.75,42.25,42.25,130600.0,1811088500.0,,,,,,,,,,,,,,,,,,
1998-01-08,SNA.N,42.375,42.375,41.3125,41.5625,41.5625,67600.0,1781618125.0,,,,,,,,,,,,,,,,,,
1998-01-09,SNA.N,41.4375,41.5,40.625,40.625,40.625,189200.0,1741431250.0,,,,,,,,,,,,,,,,,,
1998-01-12,SNA.N,40.3125,40.8125,40.0625,40.4375,40.4375,141200.0,1733393875.0,,,,,,,,,,,,,,,,,,
1998-01-13,SNA.N,40.6875,40.8125,39.5,39.625,39.625,391000.0,1698565250.0,,,,,,,,,,,,,,,,,,
1998-01-14,SNA.N,40.125,40.3125,39.9375,40.0,40.0,234500.0,1714640000.0,,,,,,,,,,,,,,,,,,
1998-01-15,SNA.N,40.125,40.5,39.75,40.0625,40.0625,603800.0,1717319125.0,,,,,,,,,,,,,,,,,,
1998-01-16,SNA.N,40.25,40.6875,40.25,40.5625,40.5625,175900.0,1738752125.0,,,,,,,,,,,,,,,,,,
1998-01-20,SNA.N,40.75,41.0,40.5,40.9375,40.9375,111800.0,1754826875.0,,,,,,,,,,,,,,,,,,
1998-01-21,SNA.N,40.8125,41.1875,40.0625,40.3125,40.3125,125400.0,1725356500.0,,,,,,,,,,,,,,,,,,
1998-01-22,SNA.N,40.125,40.375,39.6875,39.6875,39.6875,164600.0,1713300437.5,,,,,,,,,,,,,,,,,,
1998-01-23,SNA.N,39.8125,40.0625,39.5625,39.875,39.875,93500.0,1702583937.5,,,,,,,,,,,,,,,,,,
1998-01-26,SNA.N,40.0625,40.1875,39.625,39.625,39.625,121600.0,1698565250.0,,,,,,,,,,,,,,,,,,
1998-01-27,SNA.N,39.5625,40.5,39.5625,40.125,40.125,68000.0,1730714750.0,,,,,,,,,,,,,,,,,,
1998-01-28,SNA.N,39.9375,40.125,39.875,39.875,39.875,177900.0,1709281750.0,,,,,,,,,,,,,,,,,,
1998-01-29,SNA.N,40.0,41.25,39.875,40.625,40.625,249500.0,1741431250.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2458454781.25,,2.755691985928172,0.36288525898629415,,
1998-01-30,SNA.N,37.25,39.4375,37.1875,39.1875,39.1875,1156700.0,1679811375.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2371463304.375,,2.6581828848876365,0.37619683945947563,,
1998-02-02,SNA.N,39.4375,39.9375,39.4375,39.5625,39.5625,620900.0,1695886125.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2394156733.125,,2.68362004168082,0.3726309926399545,,
1998-02-03,SNA.N,39.5625,39.75,39.4375,39.6875,39.6875,274400.0,1703923500.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2401721209.375,,2.692099093945214,0.3714573517182539,,
1998-02-04,SNA.N,39.625,39.75,39.4375,39.625,39.625,486100.0,1698565250.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2397938971.25,,2.687859567813017,0.3720432465947811,,
1998-02-05,SNA.N,40.0625,40.875,40.0625,40.125,40.125,391700.0,1719998250.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2428196876.25,,2.7217757768705946,0.36740719367771213,,
1998-02-06,SNA.N,40.1875,40.25,40.0625,40.125,40.125,195900.0,1719998250.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2428196876.25,,2.7217757768705946,0.36740719367771213,,
1998-02-09,SNA.N,40.0625,40.1875,39.8125,40.0,40.0,343000.0,1714640000.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2420632400.0,,2.7132967246062,0.368555341157955,,
1998-02-10,SNA.N,40.125,40.375,39.9375,40.0,40.0,573700.0,1714640000.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2420632400.0,,2.7132967246062,0.368555341157955,,
1998-02-11,SNA.N,40.0,40.125,39.875,40.0,40.0,462400.0,1714640000.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2420632400.0,,2.7132967246062,0.368555341157955,,
1998-02-12,SNA.N,39.75,40.25,39.625,40.0,40.0,241800.0,1714640000.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2420632400.0,,2.7132967246062,0.368555341157955,,
1998-02-13,SNA.N,39.75,39.8125,39.5,39.6875,39.6875,218800.0,1701244375.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2401721209.375,,2.692099093945214,0.3714573517182539,,
1998-02-17,SNA.N,39.75,40.375,39.6875,40.3125,40.3125,213300.0,1728035625.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2439543590.625,,2.734494355267186,0.3656983230094437,,
1998-02-18,SNA.N,40.25,40.9375,40.25,40.9375,40.9375,141400.0,1754826875.0,63997240.0,14.7422136463182,60515810.0,0.69313,0.6567,42027000.0,1998-01-03,496523000.0,60633880.0,,,1998-01-29,2477365971.875,,2.776889616589158,0.36011514250548277,,
