Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SO.N,26.0,26.0,25.625,25.9375,25.9375,1029800.0,17899819217.5,,,,,,,,,,,,,,,,,,
1998-01-05,SO.N,25.9375,26.0,25.1875,25.625,25.625,1746500.0,17641026650.5,,,,,,,,,,,,,,,,,,
1998-01-06,SO.N,25.375,25.4375,25.0,25.125,25.125,1087300.0,17339101989.0,,,,,,,,,,,,,,,,,,
1998-01-07,SO.N,25.0,25.1875,24.875,25.1875,25.1875,1883100.0,17382234083.5,,,,,,,,,,,,,,,,,,
1998-01-08,SO.N,25.1875,25.6875,25.0,25.5,25.5,1137900.0,17511630367.0,,,,,,,,,,,,,,,,,,
1998-01-09,SO.N,25.5,25.5625,25.1875,25.375,25.375,1458600.0,17511630367.0,,,,,,,,,,,,,,,,,,
1998-01-12,SO.N,25.125,25.3125,25.0,25.25,25.25,1009100.0,17425366178.0,,,,,,,,,,,,,,,,,,
1998-01-13,SO.N,25.375,25.5,25.1875,25.5,25.5,832400.0,17597894556.0,,,,,,,,,,,,,,,,,,
1998-01-14,SO.N,25.5,25.5625,25.25,25.5,25.5,1412800.0,17597894556.0,,,,,,,,,,,,,,,,,,
1998-01-15,SO.N,25.5,25.5,25.125,25.1875,25.1875,752900.0,17382234083.5,,,,,,,,,,,,,,,,,,
1998-01-16,SO.N,25.375,25.375,25.0625,25.1875,25.1875,812300.0,17382234083.5,,,,,,,,,,,,,,,,,,
1998-01-20,SO.N,25.0625,25.25,24.9375,25.125,25.125,745700.0,17339101989.0,691228999.99999,13.9206349206349,693000000.0,0.2828,0.2828,195482000.0,1997-12-31,3238187000.0,691228999.99999,,,1998-01-20,17411625000.0,,1.804874572405932,0.5540551212192995,,
