Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SPGI.N,18.375,18.375,17.8125,18.03125,18.03125,676800.0,7140375000.0,,,,,,,,,,,,,,,,,,
1998-01-05,SPGI.N,18.015625,18.328125,17.953125,18.265625,18.265625,526000.0,7233187500.0,,,,,,,,,,,,,,,,,,
1998-01-06,SPGI.N,18.328125,18.609375,18.328125,18.59375,18.59375,927600.0,7363125000.0,,,,,,,,,,,,,,,,,,
1998-01-07,SPGI.N,18.59375,18.734375,18.421875,18.734375,18.734375,1542000.0,7418812500.0,,,,,,,,,,,,,,,,,,
1998-01-08,SPGI.N,18.734375,18.75,17.96875,18.59375,18.59375,1286000.0,7363125000.0,,,,,,,,,,,,,,,,,,
1998-01-09,SPGI.N,18.59375,18.59375,17.75,17.78125,17.78125,1164800.0,7041375000.0,,,,,,,,,,,,,,,,,,
1998-01-12,SPGI.N,17.65625,18.3125,17.65625,18.3125,18.3125,713200.0,7251750000.0,,,,,,,,,,,,,,,,,,
1998-01-13,SPGI.N,18.28125,18.59375,18.1875,18.3125,18.3125,907200.0,7251750000.0,,,,,,,,,,,,,,,,,,
1998-01-14,SPGI.N,18.296875,18.40625,18.25,18.40625,18.40625,1495600.0,7288875000.0,,,,,,,,,,,,,,,,,,
1998-01-15,SPGI.N,18.4375,18.59375,18.265625,18.3125,18.3125,2122000.0,7239375000.0,,,,,,,,,,,,,,,,,,
1998-01-16,SPGI.N,18.5,18.53125,18.375,18.484375,18.484375,904400.0,7319812500.0,,,,,,,,,,,,,,,,,,
1998-01-20,SPGI.N,18.484375,18.75,18.421875,18.75,18.75,1312800.0,7425000000.0,,,,,,,,,,,,,,,,,,
1998-01-21,SPGI.N,18.75,18.75,18.25,18.5,18.5,1104800.0,7326000000.0,,,,,,,,,,,,,,,,,,
