Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,STLD.OQ,4.0625,4.1875,4.03125,4.109375,4.109375,1156800.0,,,,,,,,,,,,,,,,,,,
1998-01-05,STLD.OQ,4.125,4.125,4.0,4.03125,4.03125,1701600.0,,,,,,,,,,,,,,,,,,,
1998-01-06,STLD.OQ,4.03125,4.34375,4.015625,4.28125,4.28125,1109200.0,,,,,,,,,,,,,,,,,,,
1998-01-07,STLD.OQ,4.3125,4.71875,4.25,4.6875,4.6875,1037200.0,,,,,,,,,,,,,,,,,,,
1998-01-08,STLD.OQ,4.6875,4.75,4.5625,4.59375,4.59375,476800.0,,,,,,,,,,,,,,,,,,,
1998-01-09,STLD.OQ,4.625,4.65625,4.34375,4.359375,4.359375,424800.0,,,,,,,,,,,,,,,,,,,
1998-01-12,STLD.OQ,4.3125,4.4375,4.1875,4.34375,4.34375,347200.0,,,,,,,,,,,,,,,,,,,
1998-01-13,STLD.OQ,4.390625,4.484375,4.390625,4.4375,4.4375,513600.0,,,,,,,,,,,,,,,,,,,
1998-01-14,STLD.OQ,4.4375,4.4375,4.34375,4.4375,4.4375,294400.0,,,,,,,,,,,,,,,,,,,
1998-01-15,STLD.OQ,4.4375,4.625,4.40625,4.5625,4.5625,494400.0,,,,,,,,,,,,,,,,,,,
1998-01-16,STLD.OQ,4.625,4.84375,4.53125,4.5625,4.5625,725200.0,,,,,,,,,,,,,,,,,,,
1998-01-20,STLD.OQ,4.625,4.6875,4.5,4.6875,4.6875,246800.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,919805062.5,,2.7245814141204625,0.36702885618223147,,
1998-01-21,STLD.OQ,4.6875,4.75,4.5625,4.75,4.75,365200.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,932069130.0,,2.7609091663087355,0.36219952912720205,,
1998-01-22,STLD.OQ,4.75,4.75,4.625,4.734375,4.734375,376000.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,929003113.125,,2.751827228261667,0.36339490711112027,,
1998-01-23,STLD.OQ,4.75,4.75,4.59375,4.59375,4.59375,654000.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,901408961.25,,2.6700897858380532,0.37451924100227696,,
1998-01-26,STLD.OQ,4.5625,4.65625,4.4375,4.53125,4.53125,847600.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,889144893.75,,2.6337620336497802,0.3796850236367912,,
1998-01-27,STLD.OQ,4.53125,4.53125,4.4375,4.4375,4.4375,588400.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,870748792.5,,2.579270405367371,0.38770653822066703,,
1998-01-28,STLD.OQ,4.46875,4.9375,4.46875,4.84375,4.84375,1536800.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,950465231.25,,2.8154007945911443,0.355189215660224,,
1998-01-29,STLD.OQ,4.90625,5.125,4.875,5.09375,5.09375,852000.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,999521501.25,,2.960711803344236,0.3377566161186179,,
1998-01-30,STLD.OQ,5.03125,5.125,4.96875,5.0,5.0,676400.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,981125400.0,,2.9062201750618266,0.34408955267084196,,
1998-02-02,STLD.OQ,5.03125,5.03125,4.90625,4.921875,4.921875,531200.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,965795315.625,,2.8608104848264855,0.3495512916021252,,
1998-02-03,STLD.OQ,4.921875,4.984375,4.859375,4.859375,4.859375,373200.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,953531248.125,,2.824482732638213,0.35404712815006245,,
1998-02-04,STLD.OQ,4.875,4.875,4.765625,4.78125,4.78125,418000.0,,198448000.0,1.72044776335421,196225080.0,0.04257,0.04216,8367000.0,1997-12-31,114653000.0,196556000.0,,,1998-01-20,938201163.75,,2.779073042402872,0.3598322119433642,,
