Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,SYF.N,,,,,,0,,,,,,,,,,,,,,,,,,,
