Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,SYY.N,11.390625,11.421875,11.0625,11.171875,11.171875,776400.0,7642859778.125,,,,,,,,,,,,,,,,,,
1998-01-05,SYY.N,11.140625,11.234375,11.0625,11.125,11.125,855200.0,7610791835.0,,,,,,,,,,,,,,,,,,
1998-01-06,SYY.N,11.09375,11.328125,11.09375,11.265625,11.265625,1206000.0,7706995664.375,,,,,,,,,,,,,,,,,,
1998-01-07,SYY.N,11.25,11.609375,11.25,11.578125,11.578125,1445200.0,7920781951.875,,,,,,,,,,,,,,,,,,
1998-01-08,SYY.N,11.515625,11.53125,11.359375,11.359375,11.359375,1127200.0,7771131550.625,,,,,,,,,,,,,,,,,,
1998-01-09,SYY.N,11.359375,11.53125,11.0625,11.0625,11.0625,1140800.0,7568034577.5,,,,,,,,,,,,,,,,,,
1998-01-12,SYY.N,10.875,11.21875,10.8125,11.21875,11.21875,946400.0,7674927721.25,,,,,,,,,,,,,,,,,,
1998-01-13,SYY.N,11.265625,11.3125,11.15625,11.15625,11.15625,614800.0,7632170463.75,,,,,,,,,,,,,,,,,,
1998-01-14,SYY.N,10.9375,11.34375,10.875,11.28125,11.28125,2321200.0,7717684978.75,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7684512688.75,,5.505209461071355,0.18164613119105416,,
1998-01-15,SYY.N,11.28125,11.28125,11.15625,11.25,11.25,1182400.0,7696306350.0,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7663225950.0,,5.489959573367557,0.18215070377769596,,
1998-01-16,SYY.N,11.25,11.421875,11.25,11.34375,11.34375,1487200.0,7760442236.25,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7727086166.25,,5.535709236478953,0.18064532606052494,,
1998-01-20,SYY.N,11.28125,11.578125,11.28125,11.578125,11.578125,1242400.0,7920781951.875,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7886736706.875,,5.650083394257443,0.17698853808359125,,
1998-01-21,SYY.N,11.53125,11.53125,11.4375,11.484375,11.484375,1149200.0,7856646065.625,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7822876490.625,,5.604333731146047,0.17843334247611034,,
1998-01-22,SYY.N,11.484375,11.6875,11.484375,11.640625,11.640625,902400.0,7963539209.375,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7929310184.375,,5.680583169665041,0.17603826405361225,,
1998-01-23,SYY.N,11.578125,11.640625,11.421875,11.5,11.5,698000.0,7821741192.0,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7833519860.0,,5.611958674997947,0.1781909058694852,,
1998-01-26,SYY.N,11.5625,11.578125,11.46875,11.515625,11.515625,482000.0,7821741192.0,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7844163229.375,,5.619583618849846,0.17794912716409922,,
1998-01-27,SYY.N,11.546875,11.78125,11.53125,11.609375,11.609375,1471600.0,7896132752.25,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7908023445.625,,5.665333281961242,0.17651212209951697,,
1998-01-28,SYY.N,11.625,11.65625,11.109375,11.328125,11.328125,4091200.0,7694212803.0,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7716442796.875,,5.528084292627053,0.180894492027505,,
1998-01-29,SYY.N,11.265625,11.5625,11.265625,11.390625,11.390625,1819200.0,7747349631.75,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7759016274.375,,5.5585840680346505,0.1799019296569837,,
1998-01-30,SYY.N,11.34375,11.34375,11.1875,11.1875,11.1875,1062000.0,7609193877.0,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7620652472.5,,5.459459797959959,0.18316830547477808,,
1998-02-02,SYY.N,11.5,11.546875,11.4375,11.484375,11.484375,1637200.0,7811113826.25,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7822876490.625,,5.604333731146047,0.17843334247611034,,
1998-02-03,SYY.N,11.484375,11.65625,11.4375,11.65625,11.65625,834000.0,7885505386.5,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,7939953553.75,,5.68820811351694,0.1758022878283393,,
1998-02-04,SYY.N,11.640625,11.828125,11.640625,11.75,11.75,1073600.0,8013033775.5,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8003813770.0,,5.733957776628337,0.17439960999992168,,
1998-02-05,SYY.N,11.75,11.828125,11.703125,11.78125,11.78125,1038400.0,8013033775.5,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8025100508.75,,5.749207664332135,0.17393701156490865,,
1998-02-06,SYY.N,11.796875,11.921875,11.765625,11.796875,11.796875,1323600.0,8023661141.25,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8035743878.125,,5.756832608184035,0.17370663141714054,,
1998-02-09,SYY.N,11.765625,11.84375,11.71875,11.78125,11.78125,1566000.0,8013033775.5,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8025100508.75,,5.749207664332135,0.17393701156490865,,
1998-02-10,SYY.N,11.8125,11.875,11.75,11.828125,11.828125,942000.0,8044915872.75,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8057030616.875,,5.772082495887833,0.17324769712013358,,
1998-02-11,SYY.N,11.796875,12.1875,11.703125,12.078125,12.078125,1322000.0,8214953724.75,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8227324526.875,,5.894081597518224,0.1696617163259264,,
1998-02-12,SYY.N,12.03125,12.109375,11.90625,11.90625,11.90625,962400.0,8098052701.5,689119320.0,2.04919541749908,681175640.0,0.08135,0.12136,55576000.0,1997-12-27,3786096000.0,683173680.0,,,1998-01-14,8110247463.75,,5.81020721514733,0.1721109012072718,,
