Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,T.N,27.941549,28.389935,27.870751,28.389935,28.389935,3943800.0,68686811301.625,,,,,,,,,,,,,,,,,,
1998-01-05,T.N,27.941549,27.941549,27.044776,27.611159,27.611159,5206200.0,66739061856.875,,,,,,,,,,,,,,,,,,
1998-01-06,T.N,27.398766,27.445964,27.209971,27.422365,27.422365,4554600.0,66452628115.0,,,,,,,,,,,,,,,,,,
1998-01-07,T.N,27.25717,27.540361,27.091975,27.540361,27.540361,3747600.0,66853635353.625,,,,,,,,,,,,,,,,,,
1998-01-08,T.N,27.186372,27.280769,26.92678,27.280769,27.280769,3177200.0,66223481121.5,,,,,,,,,,,,,,,,,,
1998-01-09,T.N,27.233571,27.516762,26.714386,27.021177,27.021177,2722600.0,65593326889.375,,,,,,,,,,,,,,,,,,
1998-01-12,T.N,26.808784,27.422365,26.808784,27.398766,27.398766,2949200.0,66567201611.75,,,,,,,,,,,,,,,,,,
1998-01-13,T.N,27.563961,27.681957,27.422365,27.681957,27.681957,2411600.0,67197355843.875,,,,,,,,,,,,,,,,,,
1998-01-14,T.N,27.705556,27.799953,27.611159,27.799953,27.799953,2037600.0,67483789585.75,,,,,,,,,,,,,,,,,,
1998-01-15,T.N,27.799953,28.035946,27.422365,27.91795,27.91795,2211800.0,67770223327.625,,,,,,,,,,,,,,,,,,
1998-01-16,T.N,28.035946,28.295538,27.941549,28.035946,28.035946,2686400.0,68056657069.5,,,,,,,,,,,,,,,,,,
1998-01-20,T.N,28.22474,28.55513,27.988748,28.531531,28.531531,2507800.0,69259678785.375,,,,,,,,,,,,,,,,,,
1998-01-21,T.N,28.389935,28.389935,27.91795,28.295538,28.295538,1587800.0,68801384798.375,,,,,,,,,,,,,,,,,,
1998-01-22,T.N,28.24834,29.050715,28.106744,29.050715,29.050715,2358200.0,70519987249.625,,,,,,,,,,,,,,,,,,
1998-01-23,T.N,28.720325,28.814722,28.319138,28.55513,28.55513,2711000.0,69316965533.75,,,,,,,,,,,,,,,,,,
1998-01-26,T.N,28.507932,28.673127,28.366336,28.673127,28.673127,1841200.0,69603399275.625,,,,,,,,,,,,,,,,,,
1998-01-27,T.N,28.861921,29.829492,28.861921,29.381105,29.381105,3392400.0,71322001726.875,,,,,,,,,,,,,,,,,,
1998-01-28,T.N,29.428304,29.451903,28.956318,29.074315,29.074315,2892800.0,70577273998.0,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56822856063.90065,,5.2912613896918375,0.1889908523415888,,
1998-01-29,T.N,29.074315,29.593499,29.074315,29.5463,29.5463,3245600.0,71723008965.5,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57745303788.613,,5.377158374952323,0.1859718331262405,,
1998-01-30,T.N,29.569899,29.593499,29.310307,29.357506,29.357506,2680400.0,71264714978.5,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57376324698.72806,,5.342799580848129,0.18716779187911398,,
1998-02-02,T.N,29.428304,29.829492,29.428304,29.664297,29.664297,2933000.0,72066729455.75,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57975917185.59147,,5.398632757760637,0.1852320846537452,,
1998-02-03,T.N,29.5463,29.758694,29.286708,29.735094,29.735094,2492000.0,72009442707.375,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,58114282878.49794,,5.411517169056517,0.1847910611312626,,
1998-02-04,T.N,29.593499,29.735094,29.428304,29.640697,29.640697,1795200.0,71952155959.0,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57929793333.555466,,5.3943377720044206,0.18537956692104235,,
1998-02-05,T.N,29.569899,29.687896,28.814722,29.050715,29.050715,2256600.0,70519987249.625,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56776732211.86465,,5.286966403935622,0.189144383299958,,
1998-02-06,T.N,29.145112,29.404704,29.097914,29.263109,29.263109,1837000.0,71207428230.125,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57191835153.78559,,5.325620183796032,0.1877715581450296,,
1998-02-09,T.N,29.357506,29.404704,28.814722,29.168712,29.168712,1457400.0,70806420991.5,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57007345608.84312,,5.308440786743935,0.18837923227799155,,
1998-02-10,T.N,29.121513,29.357506,28.979917,29.21591,29.21591,2229400.0,70920994488.25,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57099589404.114105,,5.317030394274523,0.18807490757939216,,
1998-02-11,T.N,29.168712,29.21591,28.649527,28.88552,28.88552,1798000.0,70004406514.25,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56453875019.6152,,5.256902413596722,0.19022609158837506,,
1998-02-12,T.N,28.743925,29.050715,28.295538,28.90912,28.90912,2494000.0,70176266759.375,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56499998871.6512,,5.261197399352938,0.1900708002560382,,
1998-02-13,T.N,28.791123,28.88552,28.507932,28.88552,28.88552,1835400.0,70118980011.0,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56453875019.6152,,5.256902413596722,0.19022609158837506,,
1998-02-17,T.N,29.003517,29.404704,28.90912,29.003517,29.003517,1680200.0,70405413752.875,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56684488416.593666,,5.278376796405035,0.18945218171637046,,
1998-02-18,T.N,28.932719,29.310307,28.88552,29.310307,29.310307,1861400.0,71150141481.75,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,57284078949.05657,,5.33420979132662,0.1874691920865189,,
1998-02-19,T.N,29.286708,29.286708,28.932719,29.050715,29.050715,1457400.0,70519987249.625,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56776732211.86465,,5.286966403935622,0.189144383299958,,
1998-02-20,T.N,29.050715,29.074315,28.720325,29.074315,29.074315,1942600.0,70462700501.25,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56822856063.90065,,5.2912613896918375,0.1889908523415888,,
1998-02-23,T.N,29.074315,29.074315,28.507932,28.90912,28.90912,1468200.0,70176266759.375,8199587628.0,5.49477957309784,1954400510.0,0.39599,0.39075,3201000000.0,1997-12-31,24834000000.0,8083587628.0,,,1998-01-28,56499998871.6512,,5.261197399352938,0.1900708002560382,,
