Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,TDG.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
