Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-07,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-08,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-11,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-12,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-13,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-14,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-15,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-18,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-19,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-20,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-21,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-22,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-26,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-27,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-28,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-29,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-01,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-02,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-03,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-04,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-05,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-08,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-09,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-10,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-11,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-12,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-15,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-16,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-17,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-18,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-19,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-22,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-23,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-24,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-25,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-26,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-29,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-30,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-01,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-02,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-07,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-08,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-09,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-10,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-13,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-14,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-15,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-16,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-17,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-20,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-21,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-22,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-23,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-24,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-27,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-28,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-29,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-30,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-07-31,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-03,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-04,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-05,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-06,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-07,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-10,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-11,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-08-12,TDY.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
