Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TECH.OQ,2.1875,2.3125,2.1875,2.3125,2.3125,40799.0,175546500.0,,,,,,,,,,,,,,,,,,
1998-01-05,TECH.OQ,2.3125,2.3125,2.1875,2.25,2.25,74399.0,170802000.0,,,,,,,,,,,,,,,,,,
1998-01-06,TECH.OQ,2.1875,2.28125,2.125,2.234375,2.234375,1110399.0,169615875.0,,,,,,,,,,,,,,,,,,
1998-01-07,TECH.OQ,2.234375,2.3125,2.1875,2.234375,2.234375,119999.0,169615875.0,,,,,,,,,,,,,,,,,,
1998-01-08,TECH.OQ,2.234375,2.46875,2.21875,2.371094,2.371094,348799.0,179994468.75,,,,,,,,,,,,,,,,,,
1998-01-09,TECH.OQ,2.382813,2.46875,2.328125,2.359375,2.359375,431999.0,179104875.0,,,,,,,,,,,,,,,,,,
1998-01-12,TECH.OQ,2.125,2.296875,2.125,2.1875,2.1875,129599.0,166057500.0,,,,,,,,,,,,,,,,,,
1998-01-13,TECH.OQ,2.28125,2.3125,2.203125,2.25,2.25,87999.0,170802000.0,,,,,,,,,,,,,,,,,,
1998-01-14,TECH.OQ,2.3125,2.3125,2.1875,2.21875,2.21875,10399.0,168429750.0,,,,,,,,,,,,,,,,,,
1998-01-15,TECH.OQ,2.28125,2.28125,2.21875,2.21875,2.21875,24799.0,168429750.0,,,,,,,,,,,,,,,,,,
1998-01-16,TECH.OQ,2.25,2.25,2.21875,2.21875,2.21875,14399.0,168429750.0,,,,,,,,,,,,,,,,,,
1998-01-20,TECH.OQ,2.28125,2.28125,2.15625,2.15625,2.15625,43999.0,163685250.0,,,,,,,,,,,,,,,,,,
1998-01-21,TECH.OQ,2.164063,2.265625,2.164063,2.234375,2.234375,203199.0,169615875.0,,,,,,,,,,,,,,,,,,
1998-01-22,TECH.OQ,2.21875,2.25,2.171875,2.21875,2.21875,71199.0,168429750.0,,,,,,,,,,,,,,,,,,
1998-01-23,TECH.OQ,2.1875,2.1875,2.15625,2.15625,2.15625,144799.0,163685250.0,,,,,,,,,,,,,,,,,,
1998-01-26,TECH.OQ,2.117188,2.15625,2.109375,2.117188,2.117188,830399.0,160719937.5,,,,,,,,,,,,,,,,,,
1998-01-27,TECH.OQ,2.109375,2.171875,2.109375,2.15625,2.15625,108799.0,163685250.0,,,,,,,,,,,,,,,,,,
1998-01-28,TECH.OQ,2.140625,2.296875,2.140625,2.28125,2.28125,379199.0,173174250.0,,,,,,,,,,,,,,,,,,
1998-01-29,TECH.OQ,2.28125,2.375,2.25,2.265625,2.265625,278399.0,171988125.0,,,,,,,,,,,,,,,,,,
1998-01-30,TECH.OQ,2.25,2.265625,2.1875,2.25,2.25,146399.0,170802000.0,,,,,,,,,,,,,,,,,,
1998-02-02,TECH.OQ,2.382813,2.4375,2.25,2.265625,2.265625,606399.0,171988125.0,,,,,,,,,,,,,,,,,,
1998-02-03,TECH.OQ,2.328125,2.421875,2.265625,2.375,2.375,192799.0,180291000.0,157006000.0,0.362025923310471,151351040.0,0.02068,0.01992,3127000.0,1997-12-31,15473000.0,151190560.0,,,1998-02-03,359458720.0,,6.56030368842735,0.15243196770967202,,
1998-02-04,TECH.OQ,2.375,2.375,2.25,2.3125,2.3125,167999.0,175546500.0,157006000.0,0.362025923310471,151351040.0,0.02068,0.01992,3127000.0,1997-12-31,15473000.0,151190560.0,,,1998-02-03,349999280.0,,6.387664117679262,0.15655175062074422,,
