Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TER.OQ,15.78125,16.90625,15.78125,16.875,16.875,1993400.0,2815593210.0,,,,,,,,,,,,,,,,,,
1998-01-05,TER.OQ,16.875,18.09375,16.78125,17.40625,17.40625,3694200.0,2904232255.5,,,,,,,,,,,,,,,,,,
1998-01-06,TER.OQ,17.0625,17.09375,16.5,16.53125,16.53125,3152600.0,2742596349.0,,,,,,,,,,,,,,,,,,
1998-01-07,TER.OQ,16.375,16.375,15.34375,15.6875,15.6875,1564600.0,2617458873.0,,,,,,,,,,,,,,,,,,
1998-01-08,TER.OQ,15.6875,16.6875,15.5,15.8125,15.8125,1885400.0,2627886996.0,,,,,,,,,,,,,,,,,,
1998-01-09,TER.OQ,15.8125,16.0,14.34375,14.65625,14.65625,1950600.0,2445394843.5,,,,,,,,,,,,,,,,,,
1998-01-12,TER.OQ,14.0625,14.75,13.875,14.25,14.25,2829200.0,2377612044.0,,,,,,,,,,,,,,,,,,
1998-01-13,TER.OQ,14.5625,15.59375,14.40625,15.375,15.375,6419400.0,2570532319.5,,,,,,,,,,,,,,,,,,
1998-01-14,TER.OQ,15.71875,16.46875,15.53125,16.46875,16.46875,4696200.0,2747810410.5,,,,,,,,,,,,,,,,,,
1998-01-15,TER.OQ,16.46875,17.28125,16.25,16.75,16.75,2992800.0,2789522902.5,,,,,,,,,,,,,,,,,,
1998-01-16,TER.OQ,16.8125,17.125,16.65625,16.78125,16.78125,2878800.0,2799951025.5,,,,,,,,,,,,,,,,,,
1998-01-20,TER.OQ,16.875,18.8125,16.875,18.65625,18.65625,3787400.0,3170149392.0,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3108243187.5,,3.3167648786562403,0.3014986098155808,,
1998-01-21,TER.OQ,18.5,19.0,18.28125,18.6875,18.6875,2887600.0,3118008777.0,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3113449625.0,,3.322320598720991,0.30099443153829725,,
1998-01-22,TER.OQ,18.40625,18.5625,18.0,18.4375,18.4375,1078000.0,3076296285.0,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3071798125.0,,3.2778748382029845,0.30507571196593514,,
1998-01-23,TER.OQ,18.25,18.90625,18.25,18.8125,18.8125,1616800.0,3138865023.0,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3134275375.0,,3.344543478979994,0.2989944685380428,,
1998-01-26,TER.OQ,18.8125,19.15625,18.71875,18.71875,18.71875,1472600.0,3123222838.5,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3118656062.5,,3.3278763187857416,0.3004919366609378,,
1998-01-27,TER.OQ,18.71875,19.125,18.71875,19.09375,19.09375,2019200.0,3185791576.5,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3181133312.5,,3.3945449595627517,0.2945902946970569,,
1998-01-28,TER.OQ,19.53125,20.375,19.5,19.84375,19.84375,5153800.0,3310929052.5,172478000.0,5.62483343937193,166606000.0,0.27721,0.26814,46249000.0,1997-12-31,391684000.0,166836000.0,,,1998-01-20,3306087812.5,,3.5278822411167714,0.2834561733226799,,
