Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TFX.N,37.9375,37.9375,36.875,37.1875,37.1875,19800.0,638179187.5,,,,,,,,,,,,,,,,,,
1998-01-05,TFX.N,37.3125,37.3125,36.8125,37.0625,37.0625,37700.0,638179187.5,,,,,,,,,,,,,,,,,,
1998-01-06,TFX.N,37.0,37.25,36.6875,37.1875,37.1875,43000.0,640331562.5,,,,,,,,,,,,,,,,,,
1998-01-07,TFX.N,37.0625,37.125,36.375,37.0,37.0,26800.0,637103000.0,,,,,,,,,,,,,,,,,,
1998-01-08,TFX.N,36.875,36.875,36.0625,36.1875,36.1875,26000.0,623112562.5,,,,,,,,,,,,,,,,,,
1998-01-09,TFX.N,36.3125,36.4375,35.25,35.3125,35.3125,37400.0,608045937.5,,,,,,,,,,,,,,,,,,
1998-01-12,TFX.N,35.4375,36.5625,35.125,35.75,35.75,54800.0,615579250.0,,,,,,,,,,,,,,,,,,
1998-01-13,TFX.N,35.875,36.0,34.75,35.5625,35.5625,36600.0,612350687.5,,,,,,,,,,,,,,,,,,
1998-01-14,TFX.N,36.0625,36.0625,35.375,35.5625,35.5625,30800.0,612350687.5,,,,,,,,,,,,,,,,,,
1998-01-15,TFX.N,35.4375,35.5625,35.1875,35.3125,35.3125,28100.0,608045937.5,,,,,,,,,,,,,,,,,,
1998-01-16,TFX.N,35.1875,35.625,35.0,35.625,35.625,46700.0,613426875.0,,,,,,,,,,,,,,,,,,
1998-01-20,TFX.N,35.5625,35.625,35.125,35.5625,35.5625,43400.0,612350687.5,,,,,,,,,,,,,,,,,,
1998-01-21,TFX.N,35.3125,35.75,33.75,35.625,35.625,90700.0,613426875.0,,,,,,,,,,,,,,,,,,
1998-01-22,TFX.N,35.625,35.75,35.0,35.25,35.25,23900.0,606969750.0,,,,,,,,,,,,,,,,,,
1998-01-23,TFX.N,35.375,36.0,34.9375,35.125,35.125,75100.0,604817375.0,,,,,,,,,,,,,,,,,,
1998-01-26,TFX.N,35.25,36.0,35.0,35.25,35.25,51700.0,606969750.0,,,,,,,,,,,,,,,,,,
1998-01-27,TFX.N,35.125,35.25,34.5,35.0,35.0,32200.0,602665000.0,,,,,,,,,,,,,,,,,,
1998-01-28,TFX.N,35.0,35.125,34.625,34.6875,34.6875,63100.0,597284062.5,,,,,,,,,,,,,,,,,,
1998-01-29,TFX.N,34.75,37.0,34.75,36.125,36.125,54200.0,622036375.0,,,,,,,,,,,,,,,,,,
1998-01-30,TFX.N,36.1875,36.3125,35.75,35.75,35.75,17300.0,615579250.0,,,,,,,,,,,,,,,,,,
1998-02-02,TFX.N,36.0,37.0625,36.0,37.0625,37.0625,50900.0,638179187.5,,,,,,,,,,,,,,,,,,
1998-02-03,TFX.N,37.0625,37.0625,36.8125,37.0,37.0,142800.0,637103000.0,,,,,,,,,,,,,,,,,,
1998-02-04,TFX.N,36.75,37.0,36.75,36.75,36.75,32000.0,632798250.0,,,,,,,,,,,,,,,,,,
1998-02-05,TFX.N,36.75,37.0,36.75,36.8125,36.8125,16800.0,633874437.5,,,,,,,,,,,,,,,,,,
1998-02-06,TFX.N,36.875,37.125,36.75,36.9375,36.9375,16400.0,636026812.5,,,,,,,,,,,,,,,,,,
1998-02-09,TFX.N,37.0,37.25,36.625,37.0,37.0,67200.0,637103000.0,,,,,,,,,,,,,,,,,,
1998-02-10,TFX.N,37.125,38.4375,37.0,38.0625,38.0625,100100.0,655398187.5,,,,,,,,,,,,,,,,,,
1998-02-11,TFX.N,38.125,38.25,37.6875,37.9375,37.9375,18200.0,653245812.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1408169815.625,,3.0364651347268876,0.32933030864190843,,
1998-02-12,TFX.N,37.75,37.9375,37.625,37.9375,37.9375,53800.0,653245812.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1408169815.625,,3.0364651347268876,0.32933030864190843,,
1998-02-13,TFX.N,37.9375,38.75,37.875,38.625,38.625,150800.0,665083875.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1433688543.75,,3.0914916857680668,0.3234684423068583,,
1998-02-17,TFX.N,38.75,40.0,38.625,39.75,39.75,123300.0,684455250.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1475446462.5,,3.1815351329263604,0.3143136750717585,,
1998-02-18,TFX.N,40.0,40.625,39.5,39.625,39.625,72300.0,682302875.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1470806693.75,,3.171530305464328,0.3153052008606284,,
1998-02-19,TFX.N,39.375,40.0,39.125,39.9375,39.9375,34800.0,687683812.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1482406115.625,,3.1965423741194092,0.3128380240150836,,
1998-02-20,TFX.N,40.0625,41.625,40.0625,41.4375,41.4375,62400.0,713512312.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1538083340.625,,3.3166003036638,0.3015135706570715,,
1998-02-23,TFX.N,41.0625,41.125,40.25,40.875,40.875,41400.0,703826625.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1517204381.25,,3.2715785800846535,0.3056628399780404,,
1998-02-24,TFX.N,40.625,40.9375,39.9375,39.9375,39.9375,27100.0,687683812.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1482406115.625,,3.1965423741194092,0.3128380240150836,,
1998-02-25,TFX.N,40.1875,41.375,40.1875,41.0,41.0,14400.0,705979000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1521844150.0,,3.281583407546686,0.3047309410756683,,
1998-02-26,TFX.N,40.0,40.875,40.0,40.8125,40.8125,23800.0,702750437.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1514884496.875,,3.2665761663536372,0.3061309300852043,,
1998-02-27,TFX.N,41.0625,41.0625,40.5625,40.5625,40.5625,20000.0,698445687.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1505604959.375,,3.246566511429572,0.3080177154786416,,
1998-03-02,TFX.N,40.75,41.375,40.625,41.125,41.125,67100.0,708131375.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1526483918.75,,3.2915882350087187,0.3038047072122164,,
1998-03-03,TFX.N,41.0625,42.0,41.0,41.3125,41.3125,41900.0,710283750.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1533443571.875,,3.3065954762017675,0.30242586587842424,,
1998-03-04,TFX.N,41.3125,41.6875,41.125,41.6875,41.6875,70900.0,717817062.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1547362878.125,,3.3366099585878652,0.2997053933217967,,
1998-03-05,TFX.N,41.5,41.875,41.25,41.5625,41.5625,75300.0,715664687.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1542723109.375,,3.3266051311258327,0.30060676292577204,,
1998-03-06,TFX.N,41.6875,42.8125,41.625,42.6875,42.6875,32300.0,735036062.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1584481028.125,,3.416648578284126,0.29268447634793326,,
1998-03-09,TFX.N,42.5,42.5,42.0,42.0,42.0,17600.0,723198000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1558962300.0,,3.3616220272429467,0.29747544247862856,,
1998-03-10,TFX.N,42.125,42.1875,42.0,42.0625,42.0625,11700.0,724274187.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1561282184.375,,3.366624440973963,0.29703342844819974,,
1998-03-11,TFX.N,42.0,42.625,42.0,42.4375,42.4375,79300.0,730731312.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1575201490.625,,3.3966389233600607,0.2944086853396737,,
1998-03-12,TFX.N,42.625,43.0,42.625,43.0,43.0,36000.0,740417000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1596080450.0,,3.4416606469392073,0.29055740893261395,,
1998-03-13,TFX.N,43.25,43.3125,42.0625,42.1875,42.1875,23100.0,726426562.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1565921953.125,,3.3766292684359955,0.2961533294009458,,
1998-03-16,TFX.N,42.25,43.0625,42.25,42.875,42.875,26500.0,738264625.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1591440681.25,,3.4316558194771747,0.29140451508110554,,
1998-03-17,TFX.N,43.375,44.625,43.125,43.1875,43.1875,69200.0,743645562.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1603040103.125,,3.456667888132256,0.2892959440602582,,
1998-03-18,TFX.N,43.3125,43.3125,42.75,43.0,43.0,43600.0,740417000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1596080450.0,,3.4416606469392073,0.29055740893261395,,
1998-03-19,TFX.N,42.875,43.125,42.625,43.125,43.125,24800.0,742569375.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1600720218.75,,3.45166547440124,0.2897152135444035,,
1998-03-20,TFX.N,43.0,43.1875,42.75,43.0,43.0,53700.0,740417000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1596080450.0,,3.4416606469392073,0.29055740893261395,,
1998-03-23,TFX.N,43.0,43.0,42.5,42.5625,42.5625,34500.0,732883687.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1579841259.375,,3.4066437508220933,0.2935440489656952,,
1998-03-24,TFX.N,42.375,43.125,42.375,42.9375,42.9375,72900.0,739340812.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1593760565.625,,3.436658233208191,0.2909803454812786,,
1998-03-25,TFX.N,43.0625,43.25,42.375,42.5,42.5,35600.0,731807500.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1577521375.0,,3.401641337091077,0.2939757313906447,,
1998-03-26,TFX.N,42.375,42.625,42.1875,42.3125,42.3125,29200.0,728578937.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1570561721.875,,3.386634095898028,0.29527843034806267,,
1998-03-27,TFX.N,42.4375,42.4375,41.375,41.875,41.875,56200.0,721045625.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1554322531.25,,3.351617199780914,0.2983634288740872,,
1998-03-30,TFX.N,42.0,42.3125,41.8125,42.0625,42.0625,32300.0,724274187.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1561282184.375,,3.366624440973963,0.29703342844819974,,
1998-03-31,TFX.N,42.3125,43.8125,42.0,42.0,42.0,82300.0,723198000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1558962300.0,,3.3616220272429467,0.29747544247862856,,
1998-04-01,TFX.N,42.0,44.125,42.0,44.0,44.0,85500.0,757636000.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1633198600.0,,3.521699266635468,0.28395383145687275,,
1998-04-02,TFX.N,44.0,45.1875,43.875,45.1875,45.1875,50300.0,778083562.5,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1677276403.125,,3.6167451275247773,0.2764916975734971,,
1998-04-03,TFX.N,45.0,46.375,45.0,45.5,45.5,59200.0,783464500.0,37872000.0,12.4939685841024,37118150.0,0.56996,0.56026,21218000.0,1997-12-28,314409000.0,37227000.0,,,1998-02-11,1688875825.0,,3.6417571961798587,0.27459271613411873,,
