Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TPL.N,2.820427,2.859491,2.812614,2.843865,2.843865,105000.0,143279500.0,,,,,,,,,,,,,,,,,,
1998-01-05,TPL.N,2.859491,2.953245,2.859491,2.863397,2.863397,133500.0,144263562.5,,,,,,,,,,,,,,,,,,
1998-01-06,TPL.N,2.859491,2.875116,2.77355,2.77355,2.77355,210000.0,139736875.0,,,,,,,,,,,,,,,,,,
1998-01-07,TPL.N,2.757924,2.757924,2.66417,2.679796,2.679796,298500.0,135013374.999999,,,,,,,,,,,,,,,,,,
1998-01-08,TPL.N,2.679796,2.679796,2.570417,2.632919,2.632919,156000.0,132651625.0,,,,,,,,,,,,,,,,,,
1998-01-09,TPL.N,2.640732,2.640732,2.562604,2.578229,2.578229,78000.0,129896250.0,,,,,,,,,,,,,,,,,,
1998-01-12,TPL.N,2.515727,2.515727,2.433692,2.453224,2.453224,130500.0,123598250.0,,,,,,,,,,,,,,,,,,
1998-01-13,TPL.N,2.46885,2.46885,2.437599,2.457131,2.457131,82500.0,123795062.5,,,,,,,,,,,,,,,,,,
1998-01-14,TPL.N,2.457131,2.515727,2.457131,2.515727,2.515727,72000.0,126747250.0,,,,,,,,,,,,,,,,,,
1998-01-15,TPL.N,2.531352,2.562604,2.476663,2.476663,2.476663,46500.0,124779125.0,,,,,,,,,,,,,,,,,,
1998-01-16,TPL.N,2.492288,2.562604,2.476663,2.562604,2.562604,60000.0,129109000.0,,,,,,,,,,,,,,,,,,
1998-01-20,TPL.N,2.578229,2.632919,2.546978,2.546978,2.546978,145500.0,128321750.0,,,,,,,,,,,,,,,,,,
1998-01-21,TPL.N,2.562604,2.625106,2.562604,2.625106,2.625106,42000.0,132258000.0,,,,,,,,,,,,,,,,,,
1998-01-22,TPL.N,2.640732,2.656358,2.609481,2.656358,2.656358,40500.0,133832500.0,,,,,,,,,,,,,,,,,,
1998-01-23,TPL.N,2.640732,2.656358,2.593855,2.656358,2.656358,31500.0,133832500.0,,,,,,,,,,,,,,,,,,
1998-01-26,TPL.N,2.640732,2.703234,2.640732,2.703234,2.703234,27000.0,136194250.0,,,,,,,,,,,,,,,,,,
