Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-07,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-08,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-11,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-12,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-13,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-14,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-15,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-18,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-19,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-20,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-21,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-22,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-26,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-27,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-28,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-29,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-01,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-02,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-03,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-04,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-05,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-08,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-09,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-10,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-11,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-12,TPR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
