Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TRMB.OQ,3.645835,3.645835,3.541668,3.625002,3.625002,625199.0,403092750.0,,,,,,,,,,,,,,,,,,
1998-01-05,TRMB.OQ,3.645835,3.708335,3.562502,3.583335,3.583335,656999.0,398459500.0,,,,,,,,,,,,,,,,,,
1998-01-06,TRMB.OQ,3.541668,3.645835,3.541668,3.583335,3.583335,664199.0,398459500.0,,,,,,,,,,,,,,,,,,
1998-01-07,TRMB.OQ,3.583335,3.583335,3.500002,3.583335,3.583335,955199.0,398459500.0,,,,,,,,,,,,,,,,,,
1998-01-08,TRMB.OQ,3.604168,4.062502,3.541668,3.875002,3.875002,2908798.0,430892250.0,,,,,,,,,,,,,,,,,,
1998-01-09,TRMB.OQ,3.895835,3.895835,3.541668,3.593752,3.593752,917999.0,399617812.5,,,,,,,,,,,,,,,,,,
1998-01-12,TRMB.OQ,3.604168,3.729169,3.479168,3.510418,3.510418,932999.0,390351312.5,,,,,,,,,,,,,,,,,,
1998-01-13,TRMB.OQ,3.604168,3.645835,3.500002,3.531252,3.531252,1060199.0,392667937.5,,,,,,,,,,,,,,,,,,
1998-01-14,TRMB.OQ,3.604168,3.718752,3.531252,3.625002,3.625002,632399.0,403092750.0,,,,,,,,,,,,,,,,,,
1998-01-15,TRMB.OQ,3.750002,3.750002,3.625002,3.666669,3.666669,293399.0,407726000.0,,,,,,,,,,,,,,,,,,
1998-01-16,TRMB.OQ,3.750002,3.875002,3.666669,3.791669,3.791669,892199.0,421625750.0,,,,,,,,,,,,,,,,,,
1998-01-20,TRMB.OQ,3.791669,3.875002,3.729169,3.828127,3.828127,577199.0,425679843.75,,,,,,,,,,,,,,,,,,
1998-01-21,TRMB.OQ,3.833335,3.854169,3.729169,3.760419,3.760419,262199.0,418150812.5,,,,,,,,,,,,,,,,,,
1998-01-22,TRMB.OQ,3.833335,3.854169,3.750002,3.802085,3.802085,409799.0,422784062.5,,,,,,,,,,,,,,,,,,
1998-01-23,TRMB.OQ,3.854169,3.854169,3.395835,3.562502,3.562502,918599.0,396142875.0,,,,,,,,,,,,,,,,,,
1998-01-26,TRMB.OQ,3.562502,3.562502,3.187502,3.270835,3.270835,1660199.0,363710125.0,,,,,,,,,,,,,,,,,,
1998-01-27,TRMB.OQ,3.270835,3.333335,3.208335,3.291668,3.291668,1654199.0,366026750.0,,,,,,,,,,,,,,,,,,
1998-01-28,TRMB.OQ,3.333335,3.562502,3.312502,3.489585,3.489585,860399.0,388034687.5,,,,,,,,,,,,,,,,,,
1998-01-29,TRMB.OQ,3.479168,3.500002,3.333335,3.395835,3.395835,1760999.0,377609875.0,,,,,,,,,,,,,,,,,,
1998-01-30,TRMB.OQ,3.395835,3.395835,3.166668,3.208335,3.208335,1826399.0,356760250.0,,,,,,,,,,,,,,,,,,
1998-02-02,TRMB.OQ,3.250002,3.333335,3.166668,3.281252,3.281252,1901399.0,364868437.5,,,,,,,,,,,,,,,,,,
1998-02-03,TRMB.OQ,3.270835,3.333335,3.187502,3.260418,3.260418,1158599.0,362551812.5,,,,,,,,,,,,,,,,,,
1998-02-04,TRMB.OQ,3.208335,3.291668,3.187502,3.187502,3.187502,713999.0,354443625.0,,,,,,,,,,,,,,,,,,
1998-02-05,TRMB.OQ,3.208335,3.270835,3.177085,3.208335,3.208335,1805999.0,356760250.0,,,,,,,,,,,,,,,,,,
