Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TSCO.OQ,0.890625,0.921875,0.890625,0.921875,0.921875,36799.0,128590500.0,,,,,,,,,,,,,,,,,,
1998-01-05,TSCO.OQ,0.898438,0.921875,0.898438,0.921875,0.921875,188799.0,128590500.0,,,,,,,,,,,,,,,,,,
1998-01-06,TSCO.OQ,0.921875,0.921875,0.921875,0.921875,0.921875,44799.0,128590500.0,,,,,,,,,,,,,,,,,,
1998-01-07,TSCO.OQ,0.890625,0.921875,0.875,0.875,0.875,107199.0,122052000.0,,,,,,,,,,,,,,,,,,
1998-01-08,TSCO.OQ,0.875,0.890625,0.867188,0.875,0.875,131199.0,122052000.0,,,,,,,,,,,,,,,,,,
1998-01-09,TSCO.OQ,0.871094,0.871094,0.871094,0.871094,0.871094,25599.0,121507125.0,,,,,,,,,,,,,,,,,,
1998-01-12,TSCO.OQ,0.875,0.875,0.875,0.875,0.875,15999.0,122052000.0,,,,,,,,,,,,,,,,,,
1998-01-13,TSCO.OQ,0.853516,0.859375,0.835938,0.859375,0.859375,44799.0,119872500.0,,,,,,,,,,,,,,,,,,
1998-01-14,TSCO.OQ,0.890625,0.890625,0.859375,0.890625,0.890625,43199.0,124231500.0,,,,,,,,,,,,,,,,,,
1998-01-15,TSCO.OQ,0.890625,0.890625,0.859375,0.890625,0.890625,116799.0,124231500.0,,,,,,,,,,,,,,,,,,
1998-01-16,TSCO.OQ,0.859375,0.910156,0.859375,0.875,0.875,353599.0,122052000.0,,,,,,,,,,,,,,,,,,
1998-01-20,TSCO.OQ,0.867188,0.890625,0.867188,0.875,0.875,100799.0,122052000.0,,,,,,,,,,,,,,,,,,
1998-01-21,TSCO.OQ,0.890625,0.914063,0.890625,0.914063,0.914063,25599.0,127500750.0,,,,,,,,,,,,,,,,,,
1998-01-22,TSCO.OQ,0.90625,0.90625,0.859375,0.875,0.875,548799.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-01-23,TSCO.OQ,0.875,0.882813,0.867188,0.875,0.875,1303999.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-01-26,TSCO.OQ,0.878906,0.878906,0.859375,0.878906,0.878906,118399.0,122596875.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.1705969770435414,0.854264977281591,,
1998-01-27,TSCO.OQ,0.875,0.878906,0.859375,0.867188,0.867188,1979199.0,120962250.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.1549900118197334,0.8658083531168028,,
1998-01-28,TSCO.OQ,0.875,0.890625,0.859375,0.859375,0.859375,1351999.0,119872500.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.1445840364575885,0.8736798418881793,,
1998-01-29,TSCO.OQ,0.890625,0.890625,0.859375,0.875,0.875,1174399.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-01-30,TSCO.OQ,0.890625,0.890625,0.859375,0.875,0.875,2051199.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-02-02,TSCO.OQ,0.898438,0.898438,0.859375,0.859375,0.859375,214399.0,119872500.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.1445840364575885,0.8736798418881793,,
1998-02-03,TSCO.OQ,0.875,0.875,0.859375,0.875,0.875,1382399.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-02-04,TSCO.OQ,0.859375,0.875,0.859375,0.875,0.875,844799.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-02-05,TSCO.OQ,0.875,0.875,0.875,0.875,0.875,206399.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-02-06,TSCO.OQ,0.875,0.878906,0.871094,0.875,0.875,1033599.0,122052000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.165394655302272,0.858078416140176,,
1998-02-09,TSCO.OQ,0.875,1.117188,0.867188,1.042969,1.042969,966399.0,145481625.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.3891091408525205,0.7198858394857891,,
1998-02-10,TSCO.OQ,1.03125,1.0625,1.03125,1.046875,1.046875,185599.0,146026500.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.3943114625937898,0.7171998702067143,,
1998-02-11,TSCO.OQ,1.070313,1.070313,0.96875,0.96875,0.96875,367999.0,135129000.0,141651040.0,0.750818614122654,,0.02928,0.02927,4147000.0,1997-12-27,134712000.0,141651040.0,,,1998-01-22,,,1.2902583683703726,0.7750385694169333,,
