Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,TSLA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
