Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,UDR.N,14.0625,14.1875,14.0,14.0625,14.0625,167800.0,1239772865.625,,,,,,,,,,,,,,,,,,
1998-01-05,UDR.N,14.4375,14.5,14.3125,14.5,14.5,174500.0,1278343577.0,,,,,,,,,,,,,,,,,,
1998-01-06,UDR.N,14.5,14.5,14.375,14.375,14.375,158700.0,1267323373.75,,,,,,,,,,,,,,,,,,
1998-01-07,UDR.N,14.4375,14.75,14.375,14.75,14.75,207700.0,1300383983.5,,,,,,,,,,,,,,,,,,
1998-01-08,UDR.N,14.75,14.75,14.625,14.6875,14.6875,116100.0,1294873881.875,,,,,,,,,,,,,,,,,,
1998-01-09,UDR.N,14.75,14.8125,14.625,14.6875,14.6875,145800.0,1294873881.875,,,,,,,,,,,,,,,,,,
1998-01-12,UDR.N,14.625,14.625,14.4375,14.625,14.625,146900.0,1289363780.25,,,,,,,,,,,,,,,,,,
1998-01-13,UDR.N,14.625,14.75,14.4375,14.4375,14.4375,185200.0,1289363780.25,,,,,,,,,,,,,,,,,,
1998-01-14,UDR.N,14.375,14.5,14.25,14.375,14.375,158500.0,1267323373.75,,,,,,,,,,,,,,,,,,
1998-01-15,UDR.N,14.4375,14.4375,14.25,14.25,14.25,228300.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-01-16,UDR.N,14.25,14.25,14.125,14.1875,14.1875,167500.0,1250793068.875,,,,,,,,,,,,,,,,,,
1998-01-20,UDR.N,14.25,14.25,14.1875,14.1875,14.1875,136100.0,1250793068.875,,,,,,,,,,,,,,,,,,
1998-01-21,UDR.N,14.25,14.25,14.1875,14.25,14.25,139300.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-01-22,UDR.N,14.25,14.25,14.1875,14.25,14.25,122300.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-01-23,UDR.N,14.25,14.25,14.125,14.1875,14.1875,171100.0,1250793068.875,,,,,,,,,,,,,,,,,,
1998-01-26,UDR.N,14.1875,14.1875,14.0625,14.125,14.125,136300.0,1245282967.25,,,,,,,,,,,,,,,,,,
1998-01-27,UDR.N,14.125,14.1875,13.9375,14.0,14.0,374600.0,1245282967.25,,,,,,,,,,,,,,,,,,
1998-01-28,UDR.N,14.0625,14.0625,13.9375,14.0,14.0,157900.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-01-29,UDR.N,14.0,14.0,13.9375,13.9375,13.9375,156100.0,1228752662.375,,,,,,,,,,,,,,,,,,
1998-01-30,UDR.N,14.0,14.0,13.875,13.875,13.875,201700.0,1223242560.75,,,,,,,,,,,,,,,,,,
1998-02-02,UDR.N,13.9375,14.0,13.875,13.9375,13.9375,263100.0,1228752662.375,,,,,,,,,,,,,,,,,,
1998-02-03,UDR.N,14.0,14.0625,13.9375,14.0,14.0,381700.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-02-04,UDR.N,14.0,14.0,13.9375,13.9375,13.9375,187000.0,1228752662.375,,,,,,,,,,,,,,,,,,
1998-02-05,UDR.N,14.0,14.0625,13.9375,14.0,14.0,188900.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-02-06,UDR.N,14.0625,14.0625,14.0,14.0625,14.0625,176700.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-02-09,UDR.N,14.125,14.125,14.0625,14.0625,14.0625,96900.0,1239772865.625,,,,,,,,,,,,,,,,,,
1998-02-10,UDR.N,14.125,14.125,14.0625,14.0625,14.0625,136600.0,1245282967.25,,,,,,,,,,,,,,,,,,
1998-02-11,UDR.N,14.125,14.1875,14.0625,14.125,14.125,232900.0,1245282967.25,,,,,,,,,,,,,,,,,,
1998-02-12,UDR.N,14.1875,14.1875,14.0,14.125,14.125,450600.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-02-13,UDR.N,14.1875,14.1875,14.0625,14.0625,14.0625,161800.0,1239772865.625,,,,,,,,,,,,,,,,,,
1998-02-17,UDR.N,14.0625,14.25,14.0625,14.25,14.25,252400.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-02-18,UDR.N,14.25,14.3125,14.125,14.3125,14.3125,141100.0,1261813272.125,,,,,,,,,,,,,,,,,,
1998-02-19,UDR.N,14.3125,14.3125,14.1875,14.3125,14.3125,111800.0,1261813272.125,,,,,,,,,,,,,,,,,,
1998-02-20,UDR.N,14.375,14.375,14.125,14.1875,14.1875,177100.0,1250793068.875,,,,,,,,,,,,,,,,,,
1998-02-23,UDR.N,14.25,14.3125,14.125,14.25,14.25,120300.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-02-24,UDR.N,14.25,14.25,14.0,14.0625,14.0625,214100.0,1239772865.625,,,,,,,,,,,,,,,,,,
1998-02-25,UDR.N,14.0,14.25,14.0,14.1875,14.1875,158400.0,1256303170.5,,,,,,,,,,,,,,,,,,
1998-02-26,UDR.N,14.3125,14.3125,14.125,14.1875,14.1875,111600.0,1250793068.875,,,,,,,,,,,,,,,,,,
1998-02-27,UDR.N,14.1875,14.1875,14.0,14.0,14.0,127100.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-03-02,UDR.N,14.0625,14.0625,13.9375,13.9375,13.9375,185900.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-03-03,UDR.N,14.0,14.125,13.9375,14.0625,14.0625,187100.0,1239772865.625,,,,,,,,,,,,,,,,,,
1998-03-04,UDR.N,14.0,14.0625,13.9375,14.0,14.0,175100.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-03-05,UDR.N,14.0,14.0625,13.9375,14.0,14.0,215300.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-03-06,UDR.N,14.0625,14.0625,13.9375,14.0,14.0,192900.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-03-09,UDR.N,14.0,14.0625,13.9375,13.9375,13.9375,87900.0,1228752662.375,,,,,,,,,,,,,,,,,,
1998-03-10,UDR.N,14.0,14.0,13.875,14.0,14.0,104100.0,1234262764.0,,,,,,,,,,,,,,,,,,
1998-03-11,UDR.N,14.0,14.0,13.9375,13.9375,13.9375,325800.0,1228752662.375,,,,,,,,,,,,,,,,,,
1998-03-12,UDR.N,14.0,14.0,13.8125,13.9375,13.9375,144000.0,1228752662.375,,,,,,,,,,,,,,,,,,
