Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,UNH.N,6.21875,6.335938,6.179688,6.210938,6.210938,3578399.0,9357974564.0625,,,,,,,,,,,,,,,,,,
1998-01-05,UNH.N,6.210938,6.289063,6.203125,6.203125,6.203125,6183999.0,9346203526.875,,,,,,,,,,,,,,,,,,
1998-01-06,UNH.N,6.140625,6.25,6.054688,6.234375,6.234375,7245599.0,9393287675.625,,,,,,,,,,,,,,,,,,
1998-01-07,UNH.N,6.226563,6.3125,6.1875,6.289063,6.289063,7435199.0,9475684935.9375,,,,,,,,,,,,,,,,,,
1998-01-08,UNH.N,6.289063,6.375,6.28125,6.3125,6.3125,8836799.0,9510998047.5,,,,,,,,,,,,,,,,,,
1998-01-09,UNH.N,6.3125,6.328125,6.1875,6.1875,6.1875,8410399.0,9322661452.5,,,,,,,,,,,,,,,,,,
1998-01-12,UNH.N,6.0,6.21875,6.0,6.078125,6.078125,9784799.0,9157866931.875,,,,,,,,,,,,,,,,,,
1998-01-13,UNH.N,6.078125,6.078125,5.976563,6.0,6.0,8202399.0,9040156560.0,,,,,,,,,,,,,,,,,,
1998-01-14,UNH.N,6.03125,6.164063,6.007813,6.109375,6.109375,4328799.0,9204951080.625,,,,,,,,,,,,,,,,,,
1998-01-15,UNH.N,6.0,6.015625,5.875,5.875,5.875,12235999.0,8851819965.0,,,,,,,,,,,,,,,,,,
1998-01-16,UNH.N,5.875,6.101563,5.867188,6.015625,6.015625,8480799.0,9063698634.375,,,,,,,,,,,,,,,,,,
1998-01-20,UNH.N,6.03125,6.039063,5.914063,5.992188,5.992188,8591199.0,9028385522.8125,,,,,,,,,,,,,,,,,,
1998-01-21,UNH.N,5.96875,6.078125,5.9375,5.992188,5.992188,6679999.0,9028385522.8125,,,,,,,,,,,,,,,,,,
1998-01-22,UNH.N,5.984375,6.078125,5.90625,6.0,6.0,4880799.0,9040156560.0,,,,,,,,,,,,,,,,,,
1998-01-23,UNH.N,5.992188,6.046875,5.867188,5.914063,5.914063,8332799.0,8910675150.9375,,,,,,,,,,,,,,,,,,
1998-01-26,UNH.N,5.914063,5.921875,5.820313,5.851563,5.851563,4264799.0,8816506853.4375,,,,,,,,,,,,,,,,,,
1998-01-27,UNH.N,5.84375,6.039063,5.84375,6.0,6.0,8365599.0,9040156560.0,,,,,,,,,,,,,,,,,,
1998-01-28,UNH.N,6.023438,6.117188,6.015625,6.09375,6.09375,6960799.0,9181409006.25,,,,,,,,,,,,,,,,,,
1998-01-29,UNH.N,6.109375,6.21875,6.101563,6.1875,6.1875,5087199.0,9322661452.5,,,,,,,,,,,,,,,,,,
1998-01-30,UNH.N,6.265625,6.40625,6.21875,6.40625,6.40625,7017599.0,9652250493.75,,,,,,,,,,,,,,,,,,
1998-02-02,UNH.N,6.609375,6.625,6.507813,6.546875,6.546875,9316799.0,9864129163.125,,,,,,,,,,,,,,,,,,
1998-02-03,UNH.N,6.5,6.523438,6.40625,6.515625,6.515625,5959999.0,9817045014.375,,,,,,,,,,,,,,,,,,
1998-02-04,UNH.N,6.5,6.5625,6.460938,6.554688,6.554688,4933599.0,9875900200.3125,,,,,,,,,,,,,,,,,,
1998-02-05,UNH.N,6.539063,6.648438,6.5,6.523438,6.523438,5068799.0,9828816051.5625,,,,,,,,,,,,,,,,,,
1998-02-06,UNH.N,6.546875,6.546875,6.46875,6.53125,6.53125,3305599.0,9840587088.75,,,,,,,,,,,,,,,,,,
1998-02-09,UNH.N,6.5,6.8125,6.5,6.773438,6.773438,9630399.0,10205489241.5625,,,,,,,,,,,,,,,,,,
1998-02-10,UNH.N,6.84375,6.960938,6.734375,6.789063,6.789063,8018399.0,10240802353.125,,,,,,,,,,,,,,,,,,
1998-02-11,UNH.N,6.78125,6.828125,6.703125,6.710938,6.710938,4136799.0,10111320944.0625,,,,,,,,,,,,,,,,,,
1998-02-12,UNH.N,6.8125,7.03125,6.617188,7.015625,7.015625,17100799.0,10546849320.0,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,10726104875.0,,2.3657046482134954,0.4227070360432221,,
1998-02-13,UNH.N,7.015625,7.375,7.015625,7.273438,7.273438,30458399.0,10958835621.5625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11120272076.944,,2.4526405110154363,0.40772383702737686,,
1998-02-17,UNH.N,7.242188,7.328125,7.070313,7.101563,7.101563,9619199.0,10699872803.4375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,10857494451.944,,2.3946833815491813,0.4175917399790342,,
1998-02-18,UNH.N,7.101563,7.34375,7.101563,7.304688,7.304688,17575999.0,11005919770.3125,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11168049826.944,,2.4631781709183915,0.4059795640471886,,
1998-02-19,UNH.N,7.28125,7.367188,7.242188,7.328125,7.328125,5157599.0,11041232881.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11203882375.0,,2.47108124724305,0.4046811496447904,,
1998-02-20,UNH.N,7.367188,7.40625,7.304688,7.328125,7.328125,6268799.0,11041232881.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11203882375.0,,2.47108124724305,0.4046811496447904,,
1998-02-23,UNH.N,7.320313,7.460938,7.304688,7.445313,7.445313,5387999.0,11229569476.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11383049701.944,,2.510597640481691,0.3983115350208554,,
1998-02-24,UNH.N,7.53125,7.71875,7.414063,7.453125,7.453125,15915999.0,11229569476.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11394993375.0,,2.5132318868548715,0.3978940444096577,,
1998-02-25,UNH.N,7.5,7.640625,7.5,7.585938,7.585938,7605599.0,11394363997.5,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11598049576.944,,2.5580171100449904,0.3909277995339179,,
1998-02-26,UNH.N,7.59375,7.640625,7.578125,7.609375,7.609375,5158399.0,11464990220.625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11633882125.0,,2.565920186369649,0.3897237354895415,,
1998-02-27,UNH.N,7.578125,7.664063,7.546875,7.585938,7.585938,2426399.0,11429677109.0625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11598049576.944,,2.5580171100449904,0.3909277995339179,,
1998-03-02,UNH.N,7.5,7.664063,7.492188,7.648438,7.648438,5870399.0,11523845406.5625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11693605076.944,,2.5790924298509013,0.38773329269855233,,
1998-03-03,UNH.N,7.625,7.882813,7.625,7.84375,7.84375,12620799.0,11818121336.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,11992215250.0,,2.6449526356418147,0.37807860395100934,,
1998-03-04,UNH.N,7.8125,8.109375,7.703125,8.03125,8.03125,10271199.0,12100626228.75,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12278881750.0,,2.708178595059547,0.36925186611557725,,
1998-03-05,UNH.N,7.875,7.960938,7.851563,7.921875,7.921875,7155999.0,11935831708.125,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12111659625.0,,2.6712967853992033,0.3743500181132282,,
1998-03-06,UNH.N,8.03125,8.070313,7.984375,8.0,8.0,9611999.0,12053542080.0,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12231104000.0,,2.6976409351565915,0.3706942562175912,,
1998-03-09,UNH.N,7.984375,8.109375,7.976563,8.070313,8.070313,7659999.0,12159481414.6875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12338604701.944,,2.7213508385408,0.3674645642295075,,
1998-03-10,UNH.N,8.125,8.265625,8.125,8.265625,8.265625,10974399.0,12453757344.375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12637214875.0,,2.787211044331713,0.3587815863580467,,
1998-03-11,UNH.N,8.226563,8.265625,8.117188,8.21875,8.21875,8768799.0,12383131121.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12565548250.0,,2.7714045544772796,0.3608278691699747,,
1998-03-12,UNH.N,8.164063,8.390625,8.164063,8.351563,8.351563,7831999.0,12583238753.4375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12768604451.944,,2.816189777667399,0.3550897059317794,,
1998-03-13,UNH.N,8.34375,8.351563,8.1875,8.210938,8.210938,4792799.0,12347818009.6875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12553604576.944,,2.7687703081040995,0.36117116579625,,
1998-03-16,UNH.N,8.164063,8.203125,8.132813,8.148438,8.148438,3706399.0,12277191786.5625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12458049076.944,,2.7476949882981887,0.36394141426132587,,
1998-03-17,UNH.N,8.164063,8.164063,8.078125,8.125,8.125,4438399.0,12241878675.0,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12422215000.0,,2.7397915747684136,0.36499126766039747,,
1998-03-18,UNH.N,8.09375,8.234375,8.085938,8.210938,8.210938,3872799.0,12347818009.6875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12553604576.944,,2.7687703081040995,0.36117116579625,,
1998-03-19,UNH.N,8.226563,8.289063,8.015625,8.101563,8.101563,4735199.0,12206565563.4375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12386382451.944,,2.7318884984437557,0.36604715037588786,,
1998-03-20,UNH.N,8.132813,8.140625,8.0,8.015625,8.015625,4378399.0,12077084154.375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12254992875.0,,2.7029097651080694,0.3699716553282782,,
1998-03-23,UNH.N,7.984375,8.085938,7.914063,8.085938,8.085938,5273599.0,12183023489.0625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12362493576.944,,2.726619668492278,0.3667544878207982,,
1998-03-24,UNH.N,8.140625,8.3125,8.109375,8.289063,8.289063,6699999.0,12489070455.9375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12673048951.944,,2.795114457861488,0.35776710223347674,,
1998-03-25,UNH.N,8.289063,8.359375,8.210938,8.328125,8.328125,5910399.0,12547925641.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12732770375.0,,2.808286364137624,0.3560890416199,,
1998-03-26,UNH.N,8.296875,8.375,8.257813,8.34375,8.34375,4807199.0,12571467716.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12756659250.0,,2.8135551940891017,0.35542220820862674,,
1998-03-27,UNH.N,8.375,8.40625,8.203125,8.234375,8.234375,5654399.0,12406673195.625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12589437125.0,,2.7766733844287574,0.36014318630627457,,
1998-03-30,UNH.N,8.15625,8.195313,8.0625,8.140625,8.140625,4715999.0,12265420749.375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12446103875.0,,2.745060404719891,0.3642907086053872,,
1998-03-31,UNH.N,8.171875,8.210938,8.03125,8.09375,8.09375,6615999.0,12194794526.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12374437250.0,,2.729253914865458,0.366400500354067,,
1998-04-01,UNH.N,7.9375,8.117188,7.9375,8.070313,8.070313,6444799.0,12159481414.6875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12338604701.944,,2.7213508385408,0.3674645642295075,,
1998-04-02,UNH.N,8.21875,8.625,8.21875,8.578125,8.578125,13185599.0,12924598831.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13114992375.0,,2.892587643361267,0.34571121891330914,,
1998-04-03,UNH.N,8.5625,8.75,8.515625,8.71875,8.71875,9783999.0,13136477501.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13329992250.0,,2.9400071129245666,0.34013523151148156,,
1998-04-06,UNH.N,8.71875,8.742188,8.476563,8.578125,8.578125,6079199.0,12924598831.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13114992375.0,,2.892587643361267,0.34571121891330914,,
1998-04-07,UNH.N,8.578125,8.578125,8.484375,8.515625,8.515625,3952799.0,12830430534.375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13019436875.0,,2.8715123235553563,0.34824854896037927,,
1998-04-08,UNH.N,8.5625,8.765625,8.5625,8.585938,8.585938,5699199.0,12936369869.0625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13126937576.944,,2.895222226939565,0.34539662990120934,,
1998-04-09,UNH.N,8.59375,8.78125,8.585938,8.757813,8.757813,4664799.0,13195332687.1875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13389715201.944,,2.9531793564058195,0.3386181058833672,,
1998-04-13,UNH.N,8.734375,8.757813,8.65625,8.742188,8.742188,5380799.0,13171790612.8125,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13365826326.944,,2.947910526454342,0.33922332140886574,,
1998-04-14,UNH.N,8.75,9.0625,8.695313,9.0625,9.0625,9169599.0,13654403137.5,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13855547500.0,,3.0559213718570764,0.3272335503162185,,
1998-04-15,UNH.N,8.96875,8.984375,8.789063,8.835938,8.835938,7204799.0,13313043059.0625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13509159576.944,,2.979523506163208,0.33562413517848694,,
1998-04-16,UNH.N,8.820313,8.859375,8.679688,8.734375,8.734375,2698399.0,13160019575.625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13353881125.0,,2.9452759428760444,0.3395267606143233,,
1998-04-17,UNH.N,8.710938,8.742188,8.632813,8.726563,8.726563,2514399.0,13148248538.4375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13341937451.944,,2.9426416965028643,0.3398307042234989,,
1998-04-20,UNH.N,8.710938,8.804688,8.703125,8.726563,8.726563,4359199.0,13148248538.4375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13341937451.944,,2.9426416965028643,0.3398307042234989,,
1998-04-21,UNH.N,8.703125,8.742188,8.640625,8.726563,8.726563,4107199.0,13148248538.4375,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13341937451.944,,2.9426416965028643,0.3398307042234989,,
1998-04-22,UNH.N,8.695313,8.8125,8.695313,8.796875,8.796875,4504799.0,13254187873.125,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13449436625.0,,2.9663512626819553,0.3371144923328716,,
1998-04-23,UNH.N,8.765625,8.765625,8.429688,8.460938,8.460938,3741599.0,12748033274.0625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12935826576.944,,2.8530715873277432,0.3504994422297775,,
1998-04-24,UNH.N,8.445313,8.523438,8.351563,8.359375,8.359375,7066399.0,12595009790.625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12780548125.0,,2.818824024040579,0.3547578676325359,,
1998-04-27,UNH.N,8.125,8.1875,8.0,8.070313,8.070313,9203199.0,12159481414.6875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12338604701.944,,2.7213508385408,0.3674645642295075,,
1998-04-28,UNH.N,8.15625,8.289063,8.109375,8.21875,8.21875,6121599.0,12383131121.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12565548250.0,,2.7714045544772796,0.3608278691699747,,
1998-04-29,UNH.N,8.4375,8.4375,8.1875,8.34375,8.34375,8539999.0,12571467716.25,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,12756659250.0,,2.8135551940891017,0.35542220820862674,,
1998-04-30,UNH.N,8.375,8.875,8.359375,8.78125,8.78125,10645599.0,13230645798.75,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13425547750.0,,2.9610824327304774,0.3377143401839977,,
1998-05-01,UNH.N,8.71875,8.765625,8.617188,8.703125,8.703125,6835999.0,13112935426.875,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13306103375.0,,2.9347382829730893,0.3407458872233513,,
1998-05-04,UNH.N,8.703125,8.828125,8.648438,8.710938,8.710938,3939199.0,13124706464.0625,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13318048576.944,,2.9373728665513865,0.3404402659898084,,
1998-05-05,UNH.N,8.671875,8.867188,8.648438,8.78125,8.78125,5483199.0,13230645798.75,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13425547750.0,,2.9610824327304774,0.3377143401839977,,
1998-05-06,UNH.N,8.765625,8.921875,8.640625,8.75,8.75,5455999.0,13183561650.0,1543200000.0,2.96555404974073,1528888000.0,0.0738,0.07258,112000000.0,1997-12-31,3053000000.0,1517600000.0,,,1998-02-12,13377770000.0,,2.9505447728275223,0.338920462827512,,
1998-05-07,UNH.N,8.78125,8.859375,8.6875,8.796875,8.796875,7815199.0,13254187873.125,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13527834375.0,,2.89675254282655,0.3452141614499922,,
1998-05-08,UNH.N,8.789063,9.125,8.789063,9.078125,9.078125,8610399.0,13677945211.875,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13960340625.0,,2.9893663008565285,0.33451905834138657,,
1998-05-11,UNH.N,9.046875,9.203125,9.0,9.007813,9.007813,6818399.0,13572005877.1875,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13852214831.400002,,2.966213025995715,0.3371302031364771,,
1998-05-12,UNH.N,9.007813,9.046875,8.890625,8.976563,8.976563,3639999.0,12433786158.375,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13804158581.400002,,2.9559226084368286,0.3383038504275411,,
1998-05-13,UNH.N,9.046875,9.125,9.0,9.0625,9.0625,5602399.0,12531178739.25,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13936312500.0,,2.9842210920770853,0.3350958153385269,,
1998-05-14,UNH.N,9.078125,9.242188,9.046875,9.09375,9.09375,9021599.0,12596107126.5,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13984368750.0,,2.994511509635972,0.3339442833270543,,
1998-05-15,UNH.N,9.078125,9.078125,8.789063,8.789063,8.789063,4415999.0,12174072609.375,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13515821081.400002,,2.8941801030835097,0.3455209988260864,,
1998-05-18,UNH.N,8.789063,8.789063,8.445313,8.65625,8.65625,5733599.0,11990108845.5,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13311581250.0,,2.850445663811561,0.3508223337479162,,
1998-05-19,UNH.N,8.640625,8.640625,8.359375,8.390625,8.390625,5387199.0,11622181317.75,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12903103125.0,,2.7629771145610253,0.3619284411477572,,
1998-05-20,UNH.N,8.359375,8.46875,8.15625,8.242188,8.242188,11224799.0,11416574758.125,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12674836706.400002,,2.7140977958029957,0.36844656133849407,,
1998-05-21,UNH.N,8.34375,8.570313,8.3125,8.5,8.5,6989599.0,11773680888.0,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,13071300000.0,,2.798993576017128,0.3572712737065177,,
1998-05-22,UNH.N,8.4375,8.453125,8.226563,8.289063,8.289063,5865599.0,11481503145.375,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12746921081.400002,,2.7295334221413254,0.3663629805329504,,
1998-05-26,UNH.N,8.328125,8.328125,8.09375,8.140625,8.140625,7172799.0,11254253790.0,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12518653125.0,,2.6806537740899334,0.3730433260966326,,
1998-05-27,UNH.N,8.078125,8.140625,7.9375,8.015625,8.015625,4131199.0,11102754219.75,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12326428125.0,,2.6394921038543875,0.378860765879816,,
1998-05-28,UNH.N,7.78125,7.929688,7.5625,7.8125,7.8125,49584799.0,10821397875.0,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12014062500.0,,2.5726043897216253,0.38871114579269117,,
1998-05-29,UNH.N,7.921875,8.046875,7.921875,8.0,8.0,34965599.0,11081111424.0,1592000000.0,3.0368058265054,1537800000.0,0.08031,0.07789,124000000.0,1998-03-31,4115000000.0,1544000000.0,,,1998-05-07,12302400000.0,,2.6343468950749442,0.379600728313175,,
