Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,UNP.N,15.59375,15.734375,15.484375,15.5625,15.5625,899200.0,15388530796.5,,,,,,,,,,,,,,,,,,
1998-01-05,UNP.N,15.8125,15.8125,15.5,15.5625,15.5625,1466800.0,15403981128.625,,,,,,,,,,,,,,,,,,
1998-01-06,UNP.N,15.46875,15.546875,15.25,15.421875,15.421875,3043200.0,15249477807.375,,,,,,,,,,,,,,,,,,
1998-01-07,UNP.N,15.5,15.84375,15.390625,15.84375,15.84375,2658000.0,15666636774.75,,,,,,,,,,,,,,,,,,
1998-01-08,UNP.N,15.6875,15.78125,15.640625,15.75,15.75,2453200.0,15573934782.0,,,,,,,,,,,,,,,,,,
1998-01-09,UNP.N,15.71875,15.734375,14.9375,15.03125,15.03125,1040000.0,14863219504.25,,,,,,,,,,,,,,,,,,
1998-01-12,UNP.N,14.84375,15.359375,14.765625,15.359375,15.359375,1965600.0,15187676478.875,,,,,,,,,,,,,,,,,,
1998-01-13,UNP.N,15.359375,15.375,15.109375,15.1875,15.1875,1712800.0,14986822161.25,,,,,,,,,,,,,,,,,,
1998-01-14,UNP.N,15.15625,15.15625,14.96875,15.03125,15.03125,1628800.0,14863219504.25,,,,,,,,,,,,,,,,,,
1998-01-15,UNP.N,14.9375,14.96875,14.71875,14.921875,14.921875,1576400.0,14755067179.375,,,,,,,,,,,,,,,,,,
1998-01-16,UNP.N,15.0,15.046875,14.921875,14.9375,14.9375,3090400.0,14770517511.5,,,,,,,,,,,,,,,,,,
1998-01-20,UNP.N,14.9375,15.046875,14.90625,14.984375,14.984375,1928000.0,14816868507.875,,,,,,,,,,,,,,,,,,
1998-01-21,UNP.N,14.9375,14.9375,14.671875,14.75,14.75,2005600.0,14585113526.0,,,,,,,,,,,,,,,,,,
1998-01-22,UNP.N,14.640625,14.65625,14.34375,14.546875,14.546875,2446000.0,14384259208.375,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14372406763.75,,1.7474050776595744,0.5722771512941762,,
1998-01-23,UNP.N,14.546875,14.625,14.453125,14.5,14.5,4279600.0,14337908212.0,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14326093960.0,,1.7417743416413372,0.5741271851884462,,
1998-01-26,UNP.N,14.546875,14.6875,14.546875,14.5625,14.5625,2259200.0,14399709540.5,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14387844365.0,,1.7492819896656533,0.5716631200159636,,
1998-01-27,UNP.N,14.5625,14.734375,14.46875,14.5,14.5,2671200.0,14384259208.375,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14326093960.0,,1.7417743416413372,0.5741271851884462,,
1998-01-28,UNP.N,14.5,14.765625,14.5,14.6875,14.6875,2685600.0,14523312197.5,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14511345175.0,,1.7642972857142856,0.5667979019732745,,
1998-01-29,UNP.N,14.703125,15.25,14.65625,15.046875,15.046875,2779200.0,14878669836.375,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14866410003.75,,1.8074662618541033,0.5532606727464985,,
1998-01-30,UNP.N,15.015625,15.046875,14.96875,15.0,15.0,2008000.0,14832318840.0,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14820097200.0,,1.801835525835866,0.5549896123488314,,
1998-02-02,UNP.N,15.125,15.140625,15.0,15.0625,15.0625,2156800.0,14894120168.5,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14881847605.0,,1.8093431738601822,0.552686750886803,,
1998-02-03,UNP.N,15.0625,15.140625,14.9375,14.9375,14.9375,2530400.0,14770517511.5,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14758346795.0,,1.7943278778115501,0.5573117446180733,,
1998-02-04,UNP.N,14.96875,15.390625,14.890625,15.359375,15.359375,2278400.0,15187676478.875,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,15175162028.75,,1.8450045019756838,0.5420040975125922,,
1998-02-05,UNP.N,15.5625,15.59375,15.4375,15.453125,15.453125,2029600.0,15280378471.625,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,15267787636.25,,1.8562659740121579,0.5387159027855188,,
1998-02-06,UNP.N,15.5,15.9375,15.5,15.75,15.75,2028400.0,15573934782.0,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,15561102060.0,,1.8919273021276595,0.5285615355703155,,
1998-02-09,UNP.N,15.53125,15.578125,15.28125,15.328125,15.328125,2915600.0,15156775814.625,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,15144286826.25,,1.8412506779635256,0.5431091007694986,,
1998-02-10,UNP.N,15.390625,15.390625,14.8125,14.8125,14.8125,4458800.0,14646914854.5,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14634845985.0,,1.7793125817629178,0.5620147973152723,,
1998-02-11,UNP.N,14.84375,15.0625,14.8125,14.9375,14.9375,3954000.0,14770517511.5,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14758346795.0,,1.7943278778115501,0.5573117446180733,,
1998-02-12,UNP.N,14.96875,14.96875,14.75,14.890625,14.890625,2342000.0,14724166515.125,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14712033991.25,,1.7886971417933129,0.5590661362590537,,
1998-02-13,UNP.N,14.828125,15.0,14.65625,14.703125,14.703125,2337600.0,14538762529.625,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14526782776.25,,1.7661741977203647,0.5661955662644825,,
1998-02-17,UNP.N,15.0,15.015625,14.8125,15.015625,15.015625,2136400.0,14847769172.125,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14835534801.25,,1.8037124378419451,0.5544120997449303,,
1998-02-18,UNP.N,15.03125,15.234375,14.984375,15.140625,15.140625,3588000.0,14971371829.125,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14959035611.25,,1.8187277338905774,0.5498349100669536,,
1998-02-19,UNP.N,15.09375,15.125,14.9375,15.125,15.125,2628000.0,14955921497.0,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14943598010.0,,1.8168508218844983,0.550402921337684,,
1998-02-20,UNP.N,15.15625,15.234375,15.03125,15.203125,15.203125,2532000.0,15033173157.625,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,15020786016.25,,1.8262353819148935,0.5475745404469455,,
1998-02-23,UNP.N,15.203125,15.28125,14.8125,14.90625,14.90625,1722800.0,14739616847.25,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14727471592.5,,1.790574053799392,0.5584801130554278,,
1998-02-24,UNP.N,14.90625,14.90625,14.4375,14.515625,14.515625,2205200.0,14353358544.125,991956000.0,8.32484418523247,988006480.0,-0.15818,-0.15525,-152000000.0,1997-12-31,3263000000.0,973555999.99992,,,1998-01-22,14341531561.25,,1.7436512536474162,0.5735091796069732,,
