Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-07,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-08,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-11,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-12,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-13,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-14,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-15,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-18,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-19,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-20,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-21,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-22,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-26,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-27,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-28,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-29,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-01,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-02,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-03,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-04,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-05,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-08,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-09,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-10,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-11,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-12,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-15,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-16,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-17,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-18,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-19,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-22,UPS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
