Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,VICI.N,,,,,,0,,,,,,,,,,,,,,,,,,,
