Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,VMC.N,34.0,34.020833,33.375,33.729167,33.729167,130200.0,3408723246.4375,,,,,,,,,,,,,,,,,,
1998-01-05,VMC.N,33.541667,34.020833,33.520833,34.020833,34.020833,112500.0,3438199543.81249,,,,,,,,,,,,,,,,,,
1998-01-06,VMC.N,33.9375,33.9375,33.541667,33.625,33.625,62100.0,3398195997.375,,,,,,,,,,,,,,,,,,
1998-01-07,VMC.N,33.416667,33.416667,32.9375,33.041667,33.041667,111000.0,3339243402.62499,,,,,,,,,,,,,,,,,,
1998-01-08,VMC.N,33.083333,33.083333,32.458333,32.583333,32.583333,106800.0,3292923506.75,,,,,,,,,,,,,,,,,,
1998-01-09,VMC.N,32.5,32.5,31.666667,31.666667,31.666667,113100.0,3200283715.0,,,,,,,,,,,,,,,,,,
1998-01-12,VMC.N,31.583333,31.666667,31.5,31.625,31.625,133500.0,3196072815.375,,,,,,,,,,,,,,,,,,
1998-01-13,VMC.N,31.625,32.083333,31.5,32.0625,32.0625,62700.0,3240287261.43749,,,,,,,,,,,,,,,,,,
1998-01-14,VMC.N,32.125,32.5625,32.125,32.416667,32.416667,61200.0,3276079908.25,,,,,,,,,,,,,,,,,,
1998-01-15,VMC.N,32.5,32.958333,32.354167,32.625,32.625,72900.0,3297134406.375,,,,,,,,,,,,,,,,,,
1998-01-16,VMC.N,32.791667,33.208333,32.791667,32.9375,32.9375,72000.0,3328716153.5625,,,,,,,,,,,,,,,,,,
1998-01-20,VMC.N,32.833333,33.125,32.833333,33.104167,33.104167,45900.0,3345559752.06249,102721000.0,9.81058537164569,101064000.0,0.51187,0.49794,51149000.0,1997-12-31,414297000.0,99926000.0,,,1998-01-20,3345639533.6879997,,3.3743314742132346,0.29635499880258853,,
1998-01-21,VMC.N,33.0,33.104167,32.666667,32.791667,32.791667,108300.0,3313978004.875,102721000.0,9.81058537164569,101064000.0,0.51187,0.49794,51149000.0,1997-12-31,414297000.0,99926000.0,,,1998-01-20,3314057033.6879997,,3.34247812518646,0.29917922049054996,,
1998-01-22,VMC.N,32.708333,33.041667,32.291667,32.291667,32.291667,201600.0,3263447209.375,102721000.0,9.81058537164569,101064000.0,0.51187,0.49794,51149000.0,1997-12-31,414297000.0,99926000.0,,,1998-01-20,3263525033.6879997,,3.2915127667436206,0.3038116728890364,,
1998-01-23,VMC.N,32.291667,32.875,32.291667,32.645833,32.645833,109500.0,3299239856.1875,102721000.0,9.81058537164569,101064000.0,0.51187,0.49794,51149000.0,1997-12-31,414297000.0,99926000.0,,,1998-01-20,3299318466.3120003,,3.3276131610201545,0.300515700476863,,
