Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,VRSK.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
