Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,VRSN.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,VRSN.OQ,5.125,6.5625,5.125,6.375,6.375,18256800.0,,,,,,,,,,,,,,,,,,,
1998-02-02,VRSN.OQ,6.84375,9.3125,6.625,7.75,7.75,10127200.0,,,,,,,,,,,,,,,,,,,
1998-02-03,VRSN.OQ,8.25,8.78125,8.0,8.25,8.25,6244800.0,,,,,,,,,,,,,,,,,,,
1998-02-04,VRSN.OQ,8.21875,8.28125,7.625,7.90625,7.90625,2106800.0,,,,,,,,,,,,,,,,,,,
1998-02-05,VRSN.OQ,8.0625,8.25,7.625,7.640625,7.640625,890800.0,,,,,,,,,,,,,,,,,,,
1998-02-06,VRSN.OQ,7.671875,7.71875,6.875,6.96875,6.96875,2846800.0,,,,,,,,,,,,,,,,,,,
1998-02-09,VRSN.OQ,6.875,7.0,6.40625,6.75,6.75,1944800.0,,,,,,,,,,,,,,,,,,,
1998-02-10,VRSN.OQ,6.6875,7.375,6.53125,7.0,7.0,1001200.0,,,,,,,,,,,,,,,,,,,
1998-02-11,VRSN.OQ,7.03125,7.4375,6.90625,7.4375,7.4375,842400.0,,,,,,,,,,,,,,,,,,,
1998-02-12,VRSN.OQ,7.40625,7.90625,7.28125,7.78125,7.78125,1111600.0,,,,,,,,,,,,,,,,,,,
1998-02-13,VRSN.OQ,7.84375,8.0,7.6875,7.75,7.75,544800.0,,,,,,,,,,,,,,,,,,,
1998-02-17,VRSN.OQ,7.84375,8.0,7.6875,7.8125,7.8125,441600.0,,,,,,,,,,,,,,,,,,,
1998-02-18,VRSN.OQ,7.84375,7.875,7.71875,7.8125,7.8125,246000.0,,,,,,,,,,,,,,,,,,,
1998-02-19,VRSN.OQ,7.875,7.96875,7.6875,7.6875,7.6875,318400.0,,,,,,,,,,,,,,,,,,,
1998-02-20,VRSN.OQ,7.6875,8.0,7.6875,7.96875,7.96875,349200.0,,,,,,,,,,,,,,,,,,,
1998-02-23,VRSN.OQ,7.6875,7.71875,7.21875,7.25,7.25,1409600.0,,,,,,,,,,,,,,,,,,,
1998-02-24,VRSN.OQ,7.40625,7.421875,6.6875,6.84375,6.84375,2599200.0,,,,,,,,,,,,,,,,,,,
1998-02-25,VRSN.OQ,7.0,7.25,6.8125,7.25,7.25,1143200.0,,,,,,,,,,,,,,,,,,,
1998-02-26,VRSN.OQ,7.28125,7.28125,7.0625,7.21875,7.21875,491200.0,,,,,,,,,,,,,,,,,,,
1998-02-27,VRSN.OQ,7.125,7.21875,7.125,7.15625,7.15625,573600.0,,,,,,,,,,,,,,,,,,,
1998-03-02,VRSN.OQ,7.15625,7.203125,7.09375,7.109375,7.109375,466400.0,,,,,,,,,,,,,,,,,,,
1998-03-03,VRSN.OQ,7.125,7.125,7.0,7.125,7.125,642400.0,,,,,,,,,,,,,,,,,,,
