Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,VRTX.OQ,16.3125,16.71875,16.25,16.6875,16.6875,194400.0,415785750.0,,,,,,,,,,,,,,,,,,
1998-01-05,VRTX.OQ,16.625,16.6875,16.5,16.5625,16.5625,182600.0,412671250.0,,,,,,,,,,,,,,,,,,
1998-01-06,VRTX.OQ,16.6875,16.6875,16.4375,16.4375,16.4375,232600.0,409556750.0,,,,,,,,,,,,,,,,,,
1998-01-07,VRTX.OQ,16.4375,16.5,16.0,16.3125,16.3125,274200.0,406442250.0,,,,,,,,,,,,,,,,,,
1998-01-08,VRTX.OQ,16.03125,16.875,15.75,16.5625,16.5625,400600.0,412671250.0,,,,,,,,,,,,,,,,,,
1998-01-09,VRTX.OQ,16.75,16.75,16.0,16.40625,16.40625,341800.0,408778125.0,,,,,,,,,,,,,,,,,,
1998-01-12,VRTX.OQ,16.0,16.125,15.625,15.9375,15.9375,977800.0,397098750.0,,,,,,,,,,,,,,,,,,
1998-01-13,VRTX.OQ,16.25,16.75,16.25,16.5,16.5,284000.0,411114000.0,,,,,,,,,,,,,,,,,,
1998-01-14,VRTX.OQ,16.4375,17.4375,16.4375,17.25,17.25,178600.0,429801000.0,,,,,,,,,,,,,,,,,,
1998-01-15,VRTX.OQ,17.125,18.25,17.125,17.8125,17.8125,823000.0,443816250.0,,,,,,,,,,,,,,,,,,
1998-01-16,VRTX.OQ,17.75,18.375,17.5,18.25,18.25,508000.0,454717000.0,,,,,,,,,,,,,,,,,,
1998-01-20,VRTX.OQ,18.5,18.5,17.8125,18.25,18.25,501200.0,454717000.0,,,,,,,,,,,,,,,,,,
1998-01-21,VRTX.OQ,18.3125,18.3125,17.5,17.875,17.875,408600.0,445373500.0,,,,,,,,,,,,,,,,,,
1998-01-22,VRTX.OQ,17.5,18.1875,17.5,17.875,17.875,275200.0,445373500.0,,,,,,,,,,,,,,,,,,
1998-01-23,VRTX.OQ,17.8125,18.375,17.8125,18.375,18.375,810200.0,457831500.0,,,,,,,,,,,,,,,,,,
1998-01-26,VRTX.OQ,18.0,18.3125,17.9375,18.25,18.25,973200.0,454717000.0,,,,,,,,,,,,,,,,,,
1998-01-27,VRTX.OQ,18.375,18.75,18.0625,18.625,18.625,991400.0,464060500.0,,,,,,,,,,,,,,,,,,
1998-01-28,VRTX.OQ,18.5625,19.6875,18.5625,19.125,19.125,686400.0,476518500.0,,,,,,,,,,,,,,,,,,
1998-01-29,VRTX.OQ,19.375,20.125,19.0,19.5,19.5,601000.0,485862000.0,,,,,,,,,,,,,,,,,,
1998-01-30,VRTX.OQ,19.8125,19.8125,19.3125,19.625,19.625,317800.0,488976500.0,,,,,,,,,,,,,,,,,,
1998-02-02,VRTX.OQ,19.8125,20.1875,18.75,19.0625,19.0625,1031800.0,474961250.0,,,,,,,,,,,,,,,,,,
1998-02-03,VRTX.OQ,19.0,19.0625,18.5,18.75,18.75,571400.0,467175000.0,,,,,,,,,,,,,,,,,,
1998-02-04,VRTX.OQ,18.625,18.625,18.0,18.15625,18.15625,798000.0,452381125.0,,,,,,,,,,,,,,,,,,
1998-02-05,VRTX.OQ,17.875,18.1875,17.0,17.03125,17.03125,1625200.0,424350625.0,,,,,,,,,,,,,,,,,,
1998-02-06,VRTX.OQ,16.75,18.125,16.75,18.109375,18.109375,1316000.0,451213187.5,,,,,,,,,,,,,,,,,,
