Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,VTR.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,VTR.N,15.719253,15.828415,15.173446,15.282607,15.282607,1267500.0,,,,,,,,,,,,,,,,,,,
1998-05-05,VTR.N,15.228027,15.282607,14.409316,14.955123,14.955123,486000.0,,,,,,,,,,,,,,,,,,,
1998-05-06,VTR.N,14.845961,14.845961,14.300154,14.354735,14.354735,232900.0,,,,,,,,,,,,,,,,,,,
1998-05-07,VTR.N,14.409316,14.518477,13.808927,14.190993,14.190993,565200.0,,,,,,,,,,,,,,,,,,,
1998-05-08,VTR.N,14.081831,14.409316,14.081831,14.409316,14.409316,493400.0,,,,,,,,,,,,,,,,,,,
1998-05-11,VTR.N,14.518477,14.518477,14.409316,14.409316,14.409316,438500.0,,,,,,,,,,,,,,,,,,,
1998-05-12,VTR.N,14.463896,14.573058,14.463896,14.518477,14.518477,293500.0,,,,,,,,,,,,,,,,,,,
1998-05-13,VTR.N,14.845961,15.064284,14.7368,15.009704,15.009704,612700.0,,,,,,,,,,,,,,,,,,,
1998-05-14,VTR.N,15.009704,15.009704,14.7368,14.791381,14.791381,267700.0,,,,,,,,,,,,,,,,,,,
1998-05-15,VTR.N,14.7368,14.791381,14.300154,14.300154,14.300154,718900.0,,,,,,,,,,,,,,,,,,,
1998-05-18,VTR.N,14.300154,14.463896,14.245573,14.300154,14.300154,733900.0,,,,,,,,,,,,,,,,,,,
1998-05-19,VTR.N,14.300154,14.518477,14.300154,14.409316,14.409316,307100.0,,,,,,,,,,,,,,,,,,,
1998-05-20,VTR.N,14.409316,14.463896,14.245573,14.245573,14.245573,284300.0,,,,,,,,,,,,,,,,,,,
1998-05-21,VTR.N,14.300154,14.463896,14.136412,14.409316,14.409316,336600.0,,,,,,,,,,,,,,,,,,,
1998-05-22,VTR.N,14.300154,14.300154,14.136412,14.136412,14.136412,449900.0,,,,,,,,,,,,,,,,,,,
1998-05-26,VTR.N,14.136412,14.245573,13.645185,13.754347,13.754347,767100.0,,,,,,,,,,,,,,,,,,,
1998-05-27,VTR.N,13.754347,13.918089,13.645185,13.863508,13.863508,390500.0,,,,,,,,,,,,,,,,,,,
1998-05-28,VTR.N,13.754347,14.136412,13.754347,13.918089,13.918089,265000.0,,,,,,,,,,,,,,,,,,,
1998-05-29,VTR.N,13.97267,14.081831,13.863508,14.081831,14.081831,123900.0,,,,,,,,,,,,,,,,,,,
1998-06-01,VTR.N,13.97267,14.02725,13.863508,13.918089,13.918089,46900.0,,,,,,,,,,,,,,,,,,,
1998-06-02,VTR.N,13.918089,14.02725,13.863508,13.863508,13.863508,222500.0,,,,,,,,,,,,,,,,,,,
1998-06-03,VTR.N,13.808927,13.808927,13.536024,13.645185,13.645185,525500.0,,,,,,,,,,,,,,,,,,,
1998-06-04,VTR.N,13.590604,13.645185,13.481443,13.536024,13.536024,165300.0,,,,,,,,,,,,,,,,,,,
1998-06-05,VTR.N,13.536024,13.536024,12.881055,12.935636,12.935636,464500.0,,,,,,,,,,,,,,,,,,,
1998-06-08,VTR.N,12.826474,13.099378,12.662732,12.990216,12.990216,363300.0,,,,,,,,,,,,,,,,,,,
1998-06-09,VTR.N,12.826474,13.317701,12.55357,13.099378,13.099378,473000.0,,,,,,,,,,,,,,,,,,,
1998-06-10,VTR.N,13.099378,13.317701,12.771893,13.153958,13.153958,241000.0,,,,,,,,,,,,,,,,,,,
1998-06-11,VTR.N,13.153958,13.317701,12.771893,12.881055,12.881055,327200.0,,,,,,,,,,,,,,,,,,,
1998-06-12,VTR.N,12.826474,13.099378,12.662732,12.717313,12.717313,1027600.0,,,,,,,,,,,,,,,,,,,
1998-06-15,VTR.N,12.55357,12.55357,11.953182,12.116924,12.116924,389300.0,,,,,,,,,,,,,,,,,,,
1998-06-16,VTR.N,12.226086,12.444409,12.226086,12.389828,12.389828,274500.0,,,,,,,,,,,,,,,,,,,
1998-06-17,VTR.N,12.608151,12.717313,12.444409,12.49899,12.49899,585600.0,,,,,,,,,,,,,,,,,,,
1998-06-18,VTR.N,12.444409,12.771893,12.444409,12.717313,12.717313,614100.0,,,,,,,,,,,,,,,,,,,
1998-06-19,VTR.N,12.608151,12.662732,12.335247,12.49899,12.49899,228300.0,,,,,,,,,,,,,,,,,,,
1998-06-22,VTR.N,12.49899,12.49899,12.116924,12.335247,12.335247,191800.0,,,,,,,,,,,,,,,,,,,
1998-06-23,VTR.N,12.280667,12.662732,12.007763,12.662732,12.662732,313000.0,,,,,,,,,,,,,,,,,,,
1998-06-24,VTR.N,12.55357,12.662732,12.335247,12.55357,12.55357,204500.0,,,,,,,,,,,,,,,,,,,
1998-06-25,VTR.N,12.49899,12.662732,12.116924,12.116924,12.116924,256300.0,,,,,,,,,,,,,,,,,,,
1998-06-26,VTR.N,12.335247,12.444409,11.844021,12.444409,12.444409,307900.0,,,,,,,,,,,,,,,,,,,
1998-06-29,VTR.N,12.389828,12.444409,12.116924,12.171505,12.171505,115300.0,,,,,,,,,,,,,,,,,,,
1998-06-30,VTR.N,12.116924,12.280667,12.062344,12.062344,12.062344,361200.0,,,,,,,,,,,,,,,,,,,
1998-07-01,VTR.N,12.062344,12.55357,12.007763,12.226086,12.226086,556200.0,,,,,,,,,,,,,,,,,,,
1998-07-02,VTR.N,12.226086,12.55357,12.226086,12.444409,12.444409,312400.0,,,,,,,,,,,,,,,,,,,
1998-07-06,VTR.N,12.444409,13.099378,12.444409,13.044797,13.044797,450500.0,,,,,,,,,,,,,,,,,,,
1998-07-07,VTR.N,12.935636,12.935636,12.771893,12.826474,12.826474,305800.0,,,,,,,,,,,,,,,,,,,
1998-07-08,VTR.N,12.717313,12.881055,12.662732,12.826474,12.826474,680900.0,,,,,,,,,,,,,,,,,,,
1998-07-09,VTR.N,12.771893,12.881055,12.771893,12.826474,12.826474,57800.0,,,,,,,,,,,,,,,,,,,
1998-07-10,VTR.N,12.771893,12.771893,12.49899,12.608151,12.608151,218200.0,,,,,,,,,,,,,,,,,,,
