Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WAB.N,12.875,12.875,12.34375,12.46875,12.46875,58200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,WAB.N,12.4375,12.8125,12.4375,12.8125,12.8125,26000.0,,,,,,,,,,,,,,,,,,,
1998-01-06,WAB.N,12.75,12.75,12.625,12.75,12.75,27600.0,,,,,,,,,,,,,,,,,,,
1998-01-07,WAB.N,12.71875,12.71875,12.5,12.5,12.5,13800.0,,,,,,,,,,,,,,,,,,,
1998-01-08,WAB.N,12.5,12.5625,12.46875,12.46875,12.46875,11200.0,,,,,,,,,,,,,,,,,,,
1998-01-09,WAB.N,12.40625,12.40625,12.25,12.25,12.25,10800.0,,,,,,,,,,,,,,,,,,,
1998-01-12,WAB.N,12.1875,12.1875,11.5,11.6875,11.6875,40800.0,,,,,,,,,,,,,,,,,,,
1998-01-13,WAB.N,11.71875,11.71875,11.5,11.5,11.5,13000.0,,,,,,,,,,,,,,,,,,,
1998-01-14,WAB.N,11.375,11.6875,11.09375,11.65625,11.65625,147600.0,,,,,,,,,,,,,,,,,,,
1998-01-15,WAB.N,11.5625,11.65625,11.53125,11.625,11.625,25200.0,,,,,,,,,,,,,,,,,,,
1998-01-16,WAB.N,11.65625,11.71875,11.65625,11.71875,11.71875,85800.0,,,,,,,,,,,,,,,,,,,
1998-01-20,WAB.N,11.78125,12.0,11.78125,12.0,12.0,135000.0,,,,,,,,,,,,,,,,,,,
1998-01-21,WAB.N,12.0,12.0,11.8125,11.84375,11.84375,19800.0,,,,,,,,,,,,,,,,,,,
1998-01-22,WAB.N,11.84375,11.90625,11.78125,11.875,11.875,22200.0,,,,,,,,,,,,,,,,,,,
1998-01-23,WAB.N,11.875,12.03125,11.84375,12.03125,12.03125,42800.0,,,,,,,,,,,,,,,,,,,
1998-01-26,WAB.N,11.9375,12.0625,11.9375,12.0625,12.0625,193000.0,,,,,,,,,,,,,,,,,,,
1998-01-27,WAB.N,12.0,12.0,11.9375,12.0,12.0,126600.0,,,,,,,,,,,,,,,,,,,
1998-01-28,WAB.N,12.0625,12.375,12.0625,12.1875,12.1875,250200.0,,,,,,,,,,,,,,,,,,,
1998-01-29,WAB.N,12.1875,12.34375,12.1875,12.34375,12.34375,66400.0,,,,,,,,,,,,,,,,,,,
1998-01-30,WAB.N,12.34375,12.46875,12.3125,12.375,12.375,62600.0,,,,,,,,,,,,,,,,,,,
1998-02-02,WAB.N,12.375,12.375,12.25,12.28125,12.28125,22200.0,,,,,,,,,,,,,,,,,,,
1998-02-03,WAB.N,12.25,12.375,12.25,12.375,12.375,12000.0,,,,,,,,,,,,,,,,,,,
1998-02-04,WAB.N,12.3125,12.3125,12.1875,12.1875,12.1875,5800.0,,,,,,,,,,,,,,,,,,,
1998-02-05,WAB.N,12.1875,12.46875,12.1875,12.25,12.25,11600.0,,,,,,,,,,,,,,,,,,,
1998-02-06,WAB.N,12.3125,12.46875,12.3125,12.46875,12.46875,30400.0,,,,,,,,,,,,,,,,,,,
1998-02-09,WAB.N,12.34375,12.5,12.34375,12.4375,12.4375,36800.0,,,,,,,,,,,,,,,,,,,
1998-02-10,WAB.N,12.375,12.375,12.25,12.25,12.25,20600.0,,,,,,,,,,,,,,,,,,,
1998-02-11,WAB.N,12.125,12.125,12.03125,12.09375,12.09375,43600.0,,,,,,,,,,,,,,,,,,,
1998-02-12,WAB.N,12.0625,12.25,11.9375,12.25,12.25,38000.0,,,,,,,,,,,,,,,,,,,
1998-02-13,WAB.N,12.3125,12.3125,12.1875,12.25,12.25,13800.0,,,,,,,,,,,,,,,,,,,
1998-02-17,WAB.N,12.375,12.71875,12.375,12.71875,12.71875,78600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,634186128.125,,12.193542167371668,0.08201062384282969,,
1998-02-18,WAB.N,12.75,12.875,12.71875,12.84375,12.84375,58800.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,640418915.625,,12.313380419630848,0.08121246691978512,,
1998-02-19,WAB.N,12.84375,13.03125,12.84375,12.9375,12.9375,19200.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,645093506.25,,12.403259108825234,0.08062397078268523,,
1998-02-20,WAB.N,12.9375,12.9375,12.5,12.6875,12.6875,55600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,632627931.25,,12.163582604306873,0.08221262045328,,
1998-02-23,WAB.N,12.6875,12.71875,12.375,12.40625,12.40625,75000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,618604159.375,,11.893946536723714,0.08407638262980273,,
1998-02-24,WAB.N,12.4375,12.4375,12.15625,12.1875,12.1875,23000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,607696781.25,,11.684229595270148,0.08558544590777355,,
1998-02-25,WAB.N,12.25,12.28125,12.25,12.25,12.25,79000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,610813175.0,,11.744148721399739,0.08514878546946857,,
1998-02-26,WAB.N,12.3125,12.5,12.3125,12.5,12.5,87400.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,623278750.0,,11.9838252259181,0.0834458097600792,,
1998-02-27,WAB.N,12.4375,12.625,12.375,12.625,12.625,51600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,629511537.5,,12.103663478177282,0.08261961362384079,,
1998-03-02,WAB.N,12.625,12.65625,12.34375,12.375,12.375,13600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,617045962.5,,11.86398697365892,0.08428869672735273,,
1998-03-03,WAB.N,12.375,12.6875,12.375,12.6875,12.6875,23600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,632627931.25,,12.163582604306873,0.08221262045328,,
1998-03-04,WAB.N,12.6875,12.6875,12.4375,12.5625,12.5625,35800.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,626395143.75,,12.04374435204769,0.08303065647769076,,
1998-03-05,WAB.N,12.5,13.0,12.4375,13.0,13.0,42000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,648209900.0,,12.463178234954825,0.0802363555385377,,
1998-03-06,WAB.N,13.0625,13.25,13.0625,13.25,13.25,51600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,660675475.0,,12.702854739473187,0.07872246203781057,,
1998-03-09,WAB.N,13.28125,13.28125,13.1875,13.1875,13.1875,30600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,657559081.25,,12.642935613343596,0.0790955542749566,,
1998-03-10,WAB.N,13.1875,13.28125,13.1875,13.25,13.25,31000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,660675475.0,,12.702854739473187,0.07872246203781057,,
1998-03-11,WAB.N,13.25,13.6875,13.25,13.59375,13.59375,92000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,677815640.625,,13.032409933185935,0.076731779089728,,
1998-03-12,WAB.N,13.59375,13.75,13.5,13.75,13.75,124200.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,685606625.0,,13.18220774850991,0.07585982705461745,,
1998-03-13,WAB.N,13.75,13.8125,13.71875,13.8125,13.8125,33800.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,688723018.75,,13.242126874639501,0.07551656991862371,,
1998-03-16,WAB.N,13.75,13.78125,13.625,13.75,13.75,57800.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,685606625.0,,13.18220774850991,0.07585982705461745,,
1998-03-17,WAB.N,13.6875,13.6875,13.6875,13.6875,13.6875,11000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,682490231.25,,13.12228862238032,0.07620621895897643,,
1998-03-18,WAB.N,13.71875,13.71875,13.6875,13.6875,13.6875,1200.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,682490231.25,,13.12228862238032,0.07620621895897643,,
1998-03-19,WAB.N,13.71875,13.75,13.65625,13.75,13.75,14000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,685606625.0,,13.18220774850991,0.07585982705461745,,
1998-03-20,WAB.N,13.75,14.0625,13.71875,14.0625,14.0625,66600.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,701188593.75,,13.481803379157864,0.0741740531200704,,
1998-03-23,WAB.N,14.0625,14.0625,13.59375,13.59375,13.59375,36400.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,677815640.625,,13.032409933185935,0.076731779089728,,
1998-03-24,WAB.N,13.65625,13.8125,13.625,13.78125,13.78125,19800.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,687164821.875,,13.212167311574706,0.07568780930619429,,
1998-03-25,WAB.N,13.75,13.875,13.75,13.78125,13.78125,45000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,687164821.875,,13.212167311574706,0.07568780930619429,,
1998-03-26,WAB.N,13.8125,13.875,13.78125,13.875,13.875,22000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,691839412.5,,13.302046000769092,0.07517640518926054,,
1998-03-27,WAB.N,13.8125,13.8125,13.75,13.75,13.75,8000.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,685606625.0,,13.18220774850991,0.07585982705461745,,
1998-03-30,WAB.N,13.78125,14.3125,13.78125,14.25,14.25,83200.0,,196110000.00002,1.04307262200099,49862300.0,0.15713,0.15193,29794000.0,1997-12-31,453036000.0,189620000.0,,,1998-02-17,710537775.0,,13.661560757546635,0.07319807873691159,,
