Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WAT.N,9.4375,9.453125,9.375,9.390625,9.390625,109600.0,,,,,,,,,,,,,,,,,,,
1998-01-05,WAT.N,9.453125,9.546875,9.140625,9.140625,9.140625,434400.0,,,,,,,,,,,,,,,,,,,
1998-01-06,WAT.N,9.171875,10.0,9.125,9.8125,9.8125,627600.0,,,,,,,,,,,,,,,,,,,
1998-01-07,WAT.N,9.84375,9.875,9.5,9.515625,9.515625,221600.0,,,,,,,,,,,,,,,,,,,
1998-01-08,WAT.N,9.515625,10.375,9.515625,10.296875,10.296875,421600.0,,,,,,,,,,,,,,,,,,,
1998-01-09,WAT.N,10.25,10.265625,9.96875,10.046875,10.046875,810000.0,,,,,,,,,,,,,,,,,,,
1998-01-12,WAT.N,9.984375,10.140625,9.6875,10.140625,10.140625,986000.0,,,,,,,,,,,,,,,,,,,
1998-01-13,WAT.N,10.203125,10.28125,9.9375,10.109375,10.109375,287200.0,,,,,,,,,,,,,,,,,,,
1998-01-14,WAT.N,10.15625,10.1875,10.0625,10.1875,10.1875,334000.0,,,,,,,,,,,,,,,,,,,
1998-01-15,WAT.N,10.21875,10.25,10.171875,10.203125,10.203125,458800.0,,,,,,,,,,,,,,,,,,,
1998-01-16,WAT.N,10.234375,10.3125,10.203125,10.25,10.25,289200.0,,,,,,,,,,,,,,,,,,,
1998-01-20,WAT.N,10.25,10.34375,10.25,10.3125,10.3125,199600.0,,,,,,,,,,,,,,,,,,,
1998-01-21,WAT.N,10.3125,10.578125,10.3125,10.546875,10.546875,453200.0,,,,,,,,,,,,,,,,,,,
1998-01-22,WAT.N,10.546875,10.59375,10.46875,10.5,10.5,148000.0,,,,,,,,,,,,,,,,,,,
1998-01-23,WAT.N,10.515625,10.703125,10.515625,10.65625,10.65625,454800.0,,,,,,,,,,,,,,,,,,,
1998-01-26,WAT.N,10.703125,10.96875,10.65625,10.734375,10.734375,560400.0,,131744000.0,0.52645945306426,118332000.0,0.06522,0.04142,5457000.0,1997-12-31,151755000.0,118204000.0,,,1998-01-26,1270220062.5,,20.389746897924454,0.04904425763626294,,
1998-01-27,WAT.N,10.75,11.65625,10.75,11.5,11.5,1282400.0,,131744000.0,0.52645945306426,118332000.0,0.06522,0.04142,5457000.0,1997-12-31,151755000.0,118204000.0,,,1998-01-26,1360818000.0,,21.844037433584276,0.045779082875153046,,
1998-01-28,WAT.N,11.5,11.75,11.375,11.75,11.75,547200.0,,131744000.0,0.52645945306426,118332000.0,0.06522,0.04142,5457000.0,1997-12-31,151755000.0,118204000.0,,,1998-01-26,1390401000.0,,22.31890781257524,0.04480505983525617,,
1998-01-29,WAT.N,11.8125,12.234375,11.125,11.5,11.5,718000.0,,131744000.0,0.52645945306426,118332000.0,0.06522,0.04142,5457000.0,1997-12-31,151755000.0,118204000.0,,,1998-01-26,1360818000.0,,21.844037433584276,0.045779082875153046,,
1998-01-30,WAT.N,11.546875,11.578125,11.296875,11.53125,11.53125,608000.0,,131744000.0,0.52645945306426,118332000.0,0.06522,0.04142,5457000.0,1997-12-31,151755000.0,118204000.0,,,1998-01-26,1364515875.0,,21.903396230958148,0.045655020319935825,,
1998-02-02,WAT.N,11.46875,11.546875,11.390625,11.515625,11.515625,836800.0,,131744000.0,0.52645945306426,118332000.0,0.06522,0.04142,5457000.0,1997-12-31,151755000.0,118204000.0,,,1998-01-26,1362666937.5,,21.87371683227121,0.04571696743027496,,
