Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WBA.OQ,15.8125,15.8125,15.09375,15.46875,15.46875,834600.0,15320369944.6875,,,,,,,,,,,,,,,,,,
1998-01-05,WBA.OQ,15.5,15.71875,15.40625,15.5625,15.5625,1138200.0,15351320187.0,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15407349345.0,,6.348310401730541,0.15752222823373624,,
1998-01-06,WBA.OQ,15.4375,15.53125,15.25,15.40625,15.40625,711800.0,15258469460.0625,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15252657082.5,,6.284572345488267,0.15911981675537654,,
1998-01-07,WBA.OQ,15.375,15.59375,15.21875,15.375,15.375,921800.0,15227519217.75,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15221718630.0,,6.271824734239812,0.15944323101707447,,
1998-01-08,WBA.OQ,15.3125,15.34375,15.0,15.09375,15.09375,1312000.0,14887066552.3125,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,14943272557.5,,6.157096233003718,0.1624142228993802,,
1998-01-09,WBA.OQ,15.125,15.3125,15.0,15.0625,15.0625,1075000.0,14918016794.625,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,14912334105.0,,6.144348621755263,0.1627511818680511,,
1998-01-12,WBA.OQ,14.8125,15.59375,14.78125,15.59375,15.59375,1519800.0,15444170913.9375,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15438287797.5,,6.361058012978996,0.15720655242565257,,
1998-01-13,WBA.OQ,15.6875,15.78125,15.34375,15.625,15.625,2424400.0,15475121156.25,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15469226250.0,,6.373805624227451,0.1568921393208013,,
1998-01-14,WBA.OQ,15.75,16.09375,15.5625,16.09375,16.09375,1302800.0,15939374790.9375,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15933303037.5,,6.565019792954274,0.15232246536000124,,
1998-01-15,WBA.OQ,15.96875,15.96875,15.59375,15.75,15.75,1067600.0,15598922125.5,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,15592980060.0,,6.42479606922127,0.15564696361190605,,
1998-01-16,WBA.OQ,15.9375,16.28125,15.875,16.21875,16.21875,1710200.0,16063175760.1875,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,16057056847.5,,6.616010237948094,0.15114849645549255,,
1998-01-20,WBA.OQ,16.34375,16.875,16.21875,16.875,16.875,1546400.0,16651230364.125,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,16706764350.0,,6.883710074165647,0.1452704993711123,,
1998-01-21,WBA.OQ,16.8125,17.03125,16.3125,16.5,16.5,1570000.0,16279827456.375,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,16335502920.0,,6.730738739184188,0.14857210162954668,,
1998-01-22,WBA.OQ,16.25,16.65625,16.21875,16.59375,16.59375,996600.0,16434578667.9375,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,16428318277.5,,6.768981572929553,0.14773271122485995,,
1998-01-23,WBA.OQ,16.5,16.6875,16.1875,16.46875,16.46875,987000.0,16310777698.6875,1002000000.0,2.45143967688752,990030480.0,0.06205,0.08752,61300000.0,1997-11-30,3485200000.0,988000000.0,,,1998-01-05,16304564467.5,,6.717991127935734,0.1488540221259974,,
