Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,WBD.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
