Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WEC.N,14.4375,14.4375,14.21875,14.25,14.25,276200.0,3094900500.0,,,,,,,,,,,,,,,,,,
1998-01-05,WEC.N,14.25,14.40625,14.15625,14.1875,14.1875,519600.0,3074539312.5,,,,,,,,,,,,,,,,,,
1998-01-06,WEC.N,14.21875,14.21875,14.03125,14.09375,14.09375,268600.0,3060965187.5,,,,,,,,,,,,,,,,,,
1998-01-07,WEC.N,14.03125,14.03125,13.78125,13.90625,13.90625,296000.0,3020242812.5,,,,,,,,,,,,,,,,,,
1998-01-08,WEC.N,13.9375,14.15625,13.8125,14.15625,14.15625,333600.0,3074539312.5,,,,,,,,,,,,,,,,,,
1998-01-09,WEC.N,14.09375,14.34375,14.09375,14.25,14.25,716800.0,3094900500.0,,,,,,,,,,,,,,,,,,
1998-01-12,WEC.N,14.125,14.21875,14.03125,14.09375,14.09375,464200.0,3060965187.5,,,,,,,,,,,,,,,,,,
1998-01-13,WEC.N,14.09375,14.125,14.0,14.03125,14.03125,153000.0,3040604000.0,,,,,,,,,,,,,,,,,,
1998-01-14,WEC.N,14.03125,14.0625,13.9375,14.0,14.0,463000.0,3040604000.0,,,,,,,,,,,,,,,,,,
1998-01-15,WEC.N,14.0,14.03125,13.78125,13.8125,13.8125,188000.0,2999881625.0,,,,,,,,,,,,,,,,,,
1998-01-16,WEC.N,13.84375,13.96875,13.75,13.75,13.75,131800.0,2986307500.0,,,,,,,,,,,,,,,,,,
1998-01-20,WEC.N,13.75,13.84375,13.625,13.8125,13.8125,382400.0,2999881625.0,,,,,,,,,,,,,,,,,,
1998-01-21,WEC.N,13.6875,14.03125,13.5,14.0,14.0,723600.0,3040604000.0,,,,,,,,,,,,,,,,,,
1998-01-22,WEC.N,13.875,14.0,13.84375,13.9375,13.9375,204200.0,3027029875.0,,,,,,,,,,,,,,,,,,
1998-01-23,WEC.N,14.0,14.1875,13.96875,14.09375,14.09375,352800.0,3060965187.5,,,,,,,,,,,,,,,,,,
1998-01-26,WEC.N,14.0625,14.09375,13.96875,14.0625,14.0625,81800.0,3054178125.0,,,,,,,,,,,,,,,,,,
