Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WELL.N,28.25,28.4375,28.0,28.4375,28.4375,25600.0,328424687.5,,,,,,,,,,,,,,,,,,
1998-01-05,WELL.N,28.4375,28.4375,28.0625,28.1875,28.1875,28200.0,326981062.5,,,,,,,,,,,,,,,,,,
1998-01-06,WELL.N,28.375,28.5,28.0,28.25,28.25,49400.0,326259250.0,,,,,,,,,,,,,,,,,,
1998-01-07,WELL.N,28.125,28.375,27.8125,28.375,28.375,39900.0,327702875.0,,,,,,,,,,,,,,,,,,
1998-01-08,WELL.N,28.375,28.375,28.0625,28.125,28.125,16600.0,324815625.0,,,,,,,,,,,,,,,,,,
1998-01-09,WELL.N,28.0625,28.3125,27.9375,28.3125,28.3125,49500.0,326981062.5,,,,,,,,,,,,,,,,,,
1998-01-12,WELL.N,28.125,28.25,27.625,27.8125,27.8125,37000.0,321206562.5,,,,,,,,,,,,,,,,,,
1998-01-13,WELL.N,27.75,28.3125,27.4375,28.3125,28.3125,51000.0,325537437.5,,,,,,,,,,,,,,,,,,
1998-01-14,WELL.N,28.4375,28.6875,28.375,28.4375,28.4375,63800.0,328424687.5,,,,,,,,,,,,,,,,,,
1998-01-15,WELL.N,28.3125,28.5,28.3125,28.3125,28.3125,24200.0,326981062.5,,,,,,,,,,,,,,,,,,
1998-01-16,WELL.N,28.4375,28.5625,28.375,28.4375,28.4375,43400.0,328424687.5,,,,,,,,,,,,,,,,,,
1998-01-20,WELL.N,28.4375,28.5,28.3125,28.5,28.5,57800.0,329146500.0,,,,,,,,,,,,,,,,,,
1998-01-21,WELL.N,28.5,28.625,28.375,28.5625,28.5625,38600.0,329868312.5,,,,,,,,,,,,,,,,,,
