Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,WFC.N,19.125,19.28125,19.0,19.09375,19.09375,1564000.0,28843616231.625,,,,,,,,,,,,,,,,,,
1998-01-05,WFC.N,19.09375,19.46875,18.71875,18.9375,18.9375,1808800.0,28560372864.375,,,,,,,,,,,,,,,,,,
1998-01-06,WFC.N,18.875,19.0,18.53125,18.71875,18.71875,1966800.0,28277129497.125,,,,,,,,,,,,,,,,,,
1998-01-07,WFC.N,18.25,18.34375,17.875,18.3125,18.3125,4667600.0,27805057218.375,,,,,,,,,,,,,,,,,,
1998-01-08,WFC.N,18.5,18.78125,18.40625,18.6875,18.6875,3815600.0,28277129497.125,,,,,,,,,,,,,,,,,,
1998-01-09,WFC.N,18.625,18.65625,17.5625,17.84375,17.84375,2347400.0,26955327116.625,,,,,,,,,,,,,,,,,,
1998-01-12,WFC.N,17.5,18.375,17.375,18.21875,18.21875,2459200.0,27663435534.75,,,,,,,,,,,,,,,,,,
1998-01-13,WFC.N,18.8125,18.8125,18.0,18.09375,18.09375,2949200.0,27332984939.625,,,,,,,,,,,,,,,,,,
1998-01-14,WFC.N,18.5,18.6875,18.1875,18.65625,18.65625,2319000.0,28182715041.375,,,,,,,,,,,,,,,,,,
1998-01-15,WFC.N,18.6875,18.75,18.46875,18.5,18.5,1759600.0,27946678902.0,8714765460.0,5.96087793871822,3240294500.0,0.17167,0.16919,1474422000.0,1997-12-31,5667300000.0,8588807860.0,,,1998-01-15,59945448250.0,,3.103569673828633,0.32220961830909295,,
1998-01-16,WFC.N,18.625,18.71875,18.46875,18.53125,18.53125,2000600.0,27993886129.875,8714765460.0,5.96087793871822,3240294500.0,0.17167,0.16919,1474422000.0,1997-12-31,5667300000.0,8588807860.0,,,1998-01-15,60046707453.125,,3.10881219016956,0.3216662631348786,,
1998-01-20,WFC.N,18.71875,18.8125,18.46875,18.8125,18.8125,2787800.0,28418751180.75,8714765460.0,5.96087793871822,3240294500.0,0.17167,0.16919,1474422000.0,1997-12-31,5667300000.0,8588807860.0,,,1998-01-15,60958040281.25,,3.1559948372379005,0.31685729906807814,,
1998-01-21,WFC.N,18.8125,18.8125,18.03125,18.15625,18.15625,3398200.0,27427399395.375,8714765460.0,5.96087793871822,3240294500.0,0.17167,0.16919,1474422000.0,1997-12-31,5667300000.0,8588807860.0,,,1998-01-15,58831597015.625,,3.045901994078439,0.32830997252837013,,
1998-01-22,WFC.N,18.125,18.125,17.625,18.03125,18.03125,2094800.0,27285777711.75,8714765460.0,5.96087793871822,3240294500.0,0.17167,0.16919,1474422000.0,1997-12-31,5667300000.0,8588807860.0,,,1998-01-15,58426560203.125,,3.024931928714732,0.33058595154069853,,
1998-01-23,WFC.N,18.0625,18.0625,17.4375,17.75,17.75,2005200.0,26860912660.875,8714765460.0,5.96087793871822,3240294500.0,0.17167,0.16919,1474422000.0,1997-12-31,5667300000.0,8588807860.0,,,1998-01-15,57515227375.0,,2.9777492816463913,0.33582410922356165,,
