Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,XEL.OQ,29.1875,29.1875,28.78125,28.9375,28.9375,184000.0,3872184750.0,,,,,,,,,,,,,,,,,,
1998-01-05,XEL.OQ,28.9375,28.9375,28.25,28.6875,28.6875,446600.0,3838731750.0,,,,,,,,,,,,,,,,,,
1998-01-06,XEL.OQ,28.5625,28.59375,28.09375,28.28125,28.28125,198000.0,3784370625.0,,,,,,,,,,,,,,,,,,
1998-01-07,XEL.OQ,28.21875,28.21875,27.84375,28.0,28.0,288800.0,3746736000.0,,,,,,,,,,,,,,,,,,
1998-01-08,XEL.OQ,28.0625,28.125,27.78125,28.0625,28.0625,303400.0,3755099250.0,,,,,,,,,,,,,,,,,,
1998-01-09,XEL.OQ,28.0,28.03125,27.6875,27.78125,27.78125,422600.0,3717464625.0,,,,,,,,,,,,,,,,,,
1998-01-12,XEL.OQ,27.71875,28.09375,27.71875,28.03125,28.03125,190800.0,3750917625.0,,,,,,,,,,,,,,,,,,
1998-01-13,XEL.OQ,28.0625,28.0625,27.75,28.03125,28.03125,182400.0,3750917625.0,,,,,,,,,,,,,,,,,,
1998-01-14,XEL.OQ,28.0625,28.0625,27.78125,27.90625,27.90625,111000.0,3734191125.0,,,,,,,,,,,,,,,,,,
1998-01-15,XEL.OQ,27.875,27.875,27.40625,27.46875,27.46875,262400.0,3675648375.0,,,,,,,,,,,,,,,,,,
1998-01-16,XEL.OQ,27.5625,27.84375,27.46875,27.5625,27.5625,281200.0,3688193250.0,,,,,,,,,,,,,,,,,,
1998-01-20,XEL.OQ,27.625,27.625,27.4375,27.59375,27.59375,100200.0,3692374875.0,,,,,,,,,,,,,,,,,,
1998-01-21,XEL.OQ,27.625,27.71875,27.375,27.625,27.625,457000.0,3696556500.0,,,,,,,,,,,,,,,,,,
1998-01-22,XEL.OQ,27.53125,27.6875,27.5,27.6875,27.6875,94600.0,3704919750.0,,,,,,,,,,,,,,,,,,
