Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,XYL.N,,,,,,0,,,,,,,,,,,,,,,,,,,
