Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,ZTS.N,,,,,,0,,,,,,,,,,,,,,,,,,,
